project,tool,description,permission,apis,inferable_from_description,reason
54yyyu_school-mcp,add_to_reminders,Add upcoming deadlines to macOS Reminders. Args: days_ahead: Number of days to look ahead for assignments (default: 14),System Command Execution,self._run_applescript; subprocess.run,no,"Executing arbitrary AppleScript or subprocess commands is a strictly higher-impact L3 capability than the implied L2 reminder update, posing a material risk of unintended system control."
54yyyu_school-mcp,get_deadlines,Get upcoming deadlines from Canvas and Gradescope. Args: days_ahead: Number of days to look ahead for assignments (default: 14),File System Operations,builtins.open,no,"The description implies a network data fetch, but file system write access represents a strictly higher-impact local mutation capability not disclosed."
54yyyu_school-mcp,list_courses,List available courses from Canvas.,File System Operations,builtins.open,no,"The description implies a read-only API query, but file system write access represents a strictly higher-impact capability not disclosed."
611711Dark_mcp_calculate_server,calculate_expression,"calculate mathematical expressions using the `sympify` function from `sympy`, parse and compute the input mathematical expression string, supports direct calls to SymPy functions (automatically recognizes x, y, z as symbolic variables) Parameters: expression (str): Mathematical expression, e.g., ""223 - 344 * 6"" or ""sin(pi/2) + log(10)"".Replace special symbols with approximate values, e.g., pi → 3.1415"" Example expressions: ""2 + 3*5"" # Basic arithmetic → 17 ""expand((x + 1)**2)"" # Expand → x² + 2x + 1 ""diff(sin(x), x)"" # Derivative → cos(x) ""integrate(exp(x), (x, 0, 1))"" # Definite integral → E - 1 ""solve(x**2 - 4, x)"" # Solve equation → [-2, 2] ""limit(tan(x)/x, x, 0)"" # Limit → 1 ""Sum(k, (k, 1, 10)).doit()"" # Summation → 55 ""Matrix([[1, 2], [3, 4]]).inv()"" # Matrix inverse → [[-2, 1], [3/2, -1/2]] ""simplify((x**2 - 1)/(x + 1))"" # Simplify → x - 1 ""factor(x**2 - 2*x - 15)"" # Factorize → (x - 5)(x + 3) ""series(cos(x), x, 0, 4)"" # Taylor series → 1 - x²/2 + x⁴/24 + O(x⁴) ""integrate(exp(-x**2)*sin(x), (x, -oo, oo))"" # Complex integral ""solve([x**2 + y**2 - 1, x + y - 1], [x, y])"" # Solve system of equations ""Matrix([[1, 2, 3], [4, 5, 6], [7, 8, 9]]).eigenvals()"" # Matrix eigenvalues Returns: str: Calculation result. If the expression cannot be parsed or computed, returns an error message (str).",System Command Execution,builtins.eval; eval,no,"The description implies safe mathematical computation, but the use of eval allows arbitrary code execution which is a strictly higher-impact capability."
7gugu_whistle-mcp,createGroup,创建新分组,System Command Execution,WhistleClient.createGroup,no,"The description implies a standard data creation action (L2), but the actual behavior involves executing system commands (L3), which is a strictly higher-impact capability."
7gugu_whistle-mcp,createValuesGroup,创建新的值分组,System Command Execution,WhistleClient.createValueGroup,no,"The description implies standard data creation (L2), but the API suggests executing system-level commands or client-side operations (L3), which is a higher-impact capability than expected."
7gugu_whistle-mcp,renameGroup,重命名分组,System Command Execution,WhistleClient.renameGroup,no,"The description implies a simple data label update, but the actual behavior executes system-level commands which carry significantly higher risk and impact."
7gugu_whistle-mcp,updateRule,更新规则内容,System Command Execution,WhistleClient.updateRule,no,"The description implies a standard data update (L2), but the actual behavior involves executing system-level commands or controlling a proxy tool (Whistle), which is a strictly higher-impact capability (L3) than simple data persistence."
7ossamfarid_mcp-mindmesh,reason_with_swarm,,Database Management,@electric-sql/pglite.PGlite.query,no,"The empty description implies no capability, while Database Management represents a high-impact L2/L3 mutation capability that is strictly higher than the implied baseline."
8beeeaaat_touchdesigner-mcp,create_td_node,,File System Operations,node:fs.readFileSync,no,"The tool name implies node creation within an application context, but does not disclose direct file system read access, which is a distinct and unexpected capability scope."
8beeeaaat_touchdesigner-mcp,describe_td_tools,,File System Operations,node:fs.readFileSync,no,"The empty description implies no capability, while file system read access is a tangible L1 data retrieval action that exceeds the zero-impact baseline."
8beeeaaat_touchdesigner-mcp,exec_node_method,,File System Operations,node:fs.readFileSync,no,"The schema implies generic method execution (L3), but does not disclose specific file system read/write capabilities which constitute a distinct and potentially unexpected high-impact side effect."
8beeeaaat_touchdesigner-mcp,get_td_class_details,,File System Operations,node:fs.readFileSync,no,"The tool name implies a data retrieval operation, but direct file system access represents a higher-impact capability not disclosed in the empty schema."
8beeeaaat_touchdesigner-mcp,get_td_class_details,,System Command Execution,tdClient.getClassDetails,no,Executing system commands is a high-impact action that strictly exceeds the passive data retrieval implied by the tool name and empty description.
8beeeaaat_touchdesigner-mcp,get_td_classes,,File System Operations,node:fs.readFileSync,no,"The tool name implies a data retrieval operation, but the actual behavior involves direct file system access which is a higher-impact capability not disclosed in the empty schema."
8beeeaaat_touchdesigner-mcp,get_td_classes,,System Command Execution,tdClient.getClasses,no,"The tool name suggests a passive data fetch, but the actual behavior involves executing system commands, which is a strictly higher-impact capability."
8beeeaaat_touchdesigner-mcp,get_td_info,,File System Operations,node:fs.readFileSync,no,"The tool name implies a data retrieval operation, but the actual permission involves direct file system access which is a higher-impact capability not disclosed in the schema."
8beeeaaat_touchdesigner-mcp,get_td_node_parameters,,File System Operations,node:fs.readFileSync,no,"The tool name implies a simple data retrieval operation, but the actual implementation performs file system reads which is a higher-impact capability not disclosed in the empty description."
8beeeaaat_touchdesigner-mcp,get_td_nodes,,File System Operations,node:fs.readFileSync,no,"The tool name implies a network or application-level query (L1), but the actual permission involves direct file system reads (L1+ scope expansion) which is a distinct and unexpected capability not implied by the name."
AB498_computer-control-mcp,type_text,Type the specified text at the current cursor position.,System Command Execution,typewrite,no,"The description implies simple text input (L2 write), but the actual permission allows executing system commands (L3 execute), which is a strictly higher-impact capability."
AI-QL_mcp-devcontainers,devcontainer_workspace_folders,,System Command Execution,Tool.execute,no,"The empty description implies no capability, while System Command Execution is a high-impact L3 action that represents a strictly higher risk than the implied baseline."
AIDC-AI_pixelle-mcp,get_workflow_tool_detail,The name of the workflow to get details for,Cloud Infrastructure Management,default_uploader.upload,no,"The tool name implies a read-only operation, but the permission involves uploading data which is a write/mutation action."
AIDC-AI_pixelle-mcp,get_workflow_tool_detail,The name of the workflow to get details for,File System Operations,builtins.open; pathlib.Path.write,no,"The description suggests retrieving metadata, but the actual behavior includes writing files to the local file system."
AIDC-AI_pixelle-mcp,get_workflow_tool_detail,The name of the workflow to get details for,Specialized Domain Data Services,pixelle.utils.file_uploader.upload; requests.Response.raise_for_status; requests.get; unknown._get_file_url,no,"While some APIs are read-only, the inclusion of file upload capabilities represents a higher-impact mutation than implied by 'get detail'."
AIDC-AI_pixelle-mcp,reload_workflows_tool,Reload all MCP tools that were generated by workflows.,System Command Execution,pixelle.mcp_core.mcp.remove_tool,no,"The description implies refreshing state, but removing tools is a destructive action that exceeds the expected impact of a reload operation."
AIDC-AI_pixelle-mcp,remove_workflow_tool,The name of the workflow to remove,File System Operations,os.remove,no,"The description implies a logical workflow removal, but file system deletion is a strictly higher-impact destructive capability not explicitly disclosed."
AIDC-AI_pixelle-mcp,remove_workflow_tool,The name of the workflow to remove,System Command Execution,pixelle.mcp_core.mcp.remove_tool,no,Executing system commands to remove tools represents a broader and higher-risk capability than the specific workflow removal described.
AItheLab_mcp-terminal-use,mkdir,Create a new directory within the allowed directory.,System Command Execution,../utils/command-executor.execAsync,no,"The description implies a safe, sandboxed file system operation, but executing arbitrary system commands is a strictly higher-impact capability that bypasses standard file API constraints."
AaronGoldsmith_interactive_draw_mcp,get_grid_state,Get the current state of the drawing grid. Returns: A string representation of the current grid state,File System Operations,builtins.open,no,"The description implies a read-only operation (L1), but file system access involves persistent storage interactions that represent a higher-impact capability than merely viewing in-memory state."
AaronGoldsmith_interactive_draw_mcp,toggle_cell_color,Toggle the color of a cell in the drawing grid. Args: row: Row index (0-{GRID_SIZE - 1}) col: Column index (0-{GRID_SIZE - 1}) Returns: Confirmation message indicating the cell toggle,File System Operations,builtins.open,no,"The description implies an in-memory or abstract grid modification, but file system access represents a strictly higher-impact persistence capability that was not disclosed."
Aavishkar-Kolte_reaper-daw-mcp-server,add_notes_to_the_active_take_of_item,Creates a new track and inserts it at the given index in the current reaper project,System Command Execution,add_note; add_take,no,"The description implies a simple data write (L2) for notes, but the actual permission allows system command execution (L3), which is a strictly higher-impact capability."
Aayushchaudry_MCP_gmail,create_calendar_event,Create a new event in Google Calendar. Args: event: Calendar event details Returns: Status of event creation with event ID and link,System Command Execution,pickle.load,no,The use of pickle.load implies arbitrary code execution or deserialization risks that are strictly higher impact than the described calendar event creation.
Aayushchaudry_MCP_gmail,get_email_content,"Get the content of a specific email by ID. Args: email_id: The ID of the email to retrieve Returns: Email content including subject, sender, date and body",System Command Execution,pickle.load,no,Deserialization via pickle.load introduces arbitrary code execution risks (L3) that strictly exceed the safe L1 read baseline implied by fetching email content.
Aayushchaudry_MCP_gmail,get_latest_emails,"Get the latest emails from Gmail inbox. Args: max_results: Maximum number of emails to retrieve (1-10) Returns: List of email messages with From, Subject, and Date",System Command Execution,pickle.load,no,"Deserialization via pickle.load introduces arbitrary code execution risk, which is strictly higher impact than the implied read-only email retrieval."
Aayushchaudry_MCP_gmail,search_emails,"Search for emails in Gmail using a query string. Args: query: Gmail search query (e.g., ""from:example@gmail.com"") max_results: Maximum number of emails to retrieve (1-10) Returns: List of email messages matching the search query",System Command Execution,pickle.load,no,Deserialization via pickle.load introduces arbitrary code execution risk (L3) which strictly exceeds the implied safe read-only email search.
Aayushchaudry_MCP_gmail,search_events,Search for events in Google Calendar. Args: query: Search terms to find events max_results: Maximum number of events to retrieve time_min: Optional minimum time in ISO format (default: now) Returns: List of calendar events matching the search criteria,System Command Execution,pickle.load,no,Deserializing data via pickle.load introduces arbitrary code execution risk (L3) which is strictly higher impact than the described L1 search functionality.
Aayushchaudry_MCP_gmail,send_email,"Send an email using Gmail. Args: email: Email details including recipient, subject, and body Returns: Status of email sending operation",System Command Execution,pickle.load,no,"The use of pickle.load implies arbitrary code deserialization risk, which is a strictly higher-impact system execution capability than the described email sending function."
Abeautifulsnow_TDengine_mcp_server,get_field_infos,The name of the database. Default is None which means the configured database.,Database Management,taosrest.RestClient.execute_sql,no,"The tool name and description imply a read-only metadata retrieval operation (L1), but the actual permission allows executing arbitrary SQL commands (L3), which is a strictly higher-impact destructive capability."
Abeautifulsnow_TDengine_mcp_server,query_taos_db_data,The sql statement you want to retrieve data from taos db,Database Management,taosrest.execute_sql,no,"The description explicitly limits the tool to read-only SQL queries, but the actual permission allows arbitrary SQL execution which includes destructive write and delete operations."
Abeautifulsnow_TDengine_mcp_server,switch_db,The name of the database to switch to,Database Management,taosrest.RestClient.execute_sql,no,"The description implies a simple context switch (L0/L1), but the actual permission allows executing arbitrary SQL commands (L3), which is a strictly higher-impact destructive capability."
Abeautifulsnow_TDengine_mcp_server,test_table_exists,The name of the stable,Database Management,taosrest.RestClient.execute_sql,no,"The tool name implies a read-only existence check (L1), but the actual permission allows executing arbitrary SQL commands (L3), which is a strictly higher-impact capability."
AbhiJ2706_f1-mcp,get_driver_laps_tool,Get all laps for a specific driver in a specific session,System Command Execution,run_in_executor,no,"The description implies a passive data retrieval operation, but the underlying use of command execution primitives represents a higher-impact capability that could execute arbitrary code."
AbhiJ2706_f1-mcp,get_drivers_tool,"Get F1 drivers for a season, optionally filtered by query",System Command Execution,run_in_executor,no,"The description implies a simple data fetch, but the presence of system command execution APIs represents a strictly higher-impact capability that is not disclosed."
AbhiJ2706_f1-mcp,get_fastest_lap_tool,Get the fastest lap in a session,System Command Execution,run_in_executor,no,"The description implies a simple data retrieval operation, but system command execution represents a significantly higher-impact capability that allows arbitrary code execution."
AbhiJ2706_f1-mcp,get_lap_telemetry_tool,Get telemetry data for a specific lap,System Command Execution,run_in_executor,no,"The description implies a passive data fetch (L1), but the presence of command execution APIs indicates a higher-impact capability to run arbitrary code or system commands (L3)."
AbhiJ2706_f1-mcp,get_race_results_tool,"Get race results for a season, optionally filtered by race name",System Command Execution,run_in_executor,no,"The description implies a simple data fetch, but the presence of run_in_executor indicates hidden system-level command execution capabilities that exceed the expected read-only baseline."
AbhiJ2706_f1-mcp,get_session_results_tool,Get session results for a specific race and session,System Command Execution,run_in_executor,no,"The description implies a read-only data retrieval operation, but the actual permission allows executing arbitrary system commands, which is a strictly higher-impact capability."
AgentDeskAI_browser-tools-mcp,takeScreenshot,Take a screenshot of the current browser tab,Specialized Domain Data Services,McpServer.apiCall; McpServer.discoverServer,no,"The description implies a local read-only screenshot action, but the actual permission enables server-side API calls and discovery, representing a strictly higher-impact capability involving remote execution and infrastructure interaction."
AgentOps-AI_agentops-mcp,auth,"Authorize using the AGENTOPS_API_KEY. If the API key is not provided and cannot be found in the directory, ask the user for the API key.",Specialized Domain Data Services,axios.axios; axios.get,no,"The description implies only local credential handling, but the APIs reveal external network requests and data fetching capabilities not disclosed in the schema."
AgentOps-AI_agentops-mcp,auth,"Authorize using the AGENTOPS_API_KEY. If the API key is not provided and cannot be found in the directory, ask the user for the API key.",System Command Execution,clean,no,"The description suggests simple authentication logic, but the presence of a 'clean' API indicates system-level command execution or file manipulation that exceeds the implied scope."
AgentOps-AI_agentops-mcp,get_complete_trace,Reserved for explicit requests for COMPLETE or ALL data. Get complete trace information and metrics by trace_id.,System Command Execution,clean,no,"The description implies a passive L1 read operation, but the representative API suggests active system command execution, which is a strictly higher-impact L3 capability."
AgentOps-AI_agentops-mcp,get_span,Get span information and metrics by span_id.,System Command Execution,clean,no,"The description implies a passive L1 read operation, but system command execution represents a significantly higher-impact L3 capability that was not disclosed."
AgentOps-AI_agentops-mcp,get_trace,Get trace information and metrics by trace_id.,System Command Execution,clean,no,"The description implies a passive L1 read operation, but system command execution represents a strictly higher-impact L3 capability with destructive potential."
AiondaDotCom_mcp-salesforce,salesforce_auth,Authenticate with Salesforce. Automatically detects if authentication is needed and handles OAuth flow. Call this tool if any Salesforce operations fail due to authentication issues.,File System Operations,fs.readFile; fs.writeFile,no,"The description implies authentication plumbing (L0), but file system write operations represent a strictly higher-impact capability (L2) not disclosed in the schema."
AiondaDotCom_mcp-salesforce,salesforce_auth,Authenticate with Salesforce. Automatically detects if authentication is needed and handles OAuth flow. Call this tool if any Salesforce operations fail due to authentication issues.,Specialized Domain Data Services,response.text,no,"The description limits scope to authentication (L0), while accessing domain data services via network requests represents a broader, higher-impact capability (L1) not implied by the auth-only description."
AiondaDotCom_mcp-salesforce,salesforce_backup_status,"Check the status of Salesforce backup jobs. Monitor running, completed, or failed backup operations. Use without parameters to see all jobs, or specify a job_id to get detailed status of a specific backup job.",File System Operations,fs.readFile; fs.readdir,no,"The description implies a high-level status check, but the actual permission includes direct file system read access which is a lower-level capability not disclosed in the schema."
AiondaDotCom_mcp-salesforce,salesforce_create,Create a new record in any Salesforce object. Automatically handles required fields validation.,File System Operations,fs.readFile; fs.writeFile,no,"The description implies database record creation, but file system read/write operations represent a distinct and unexpected persistence mechanism outside the Salesforce domain."
AiondaDotCom_mcp-salesforce,salesforce_delete,Delete a record from any Salesforce object. This action is permanent and cannot be undone.,File System Operations,fs.readFile; fs.writeFile,no,"The description implies Salesforce record deletion, but the actual permission allows arbitrary file system read/write operations which are a strictly higher-impact capability outside the stated domain."
AiondaDotCom_mcp-salesforce,salesforce_describe,"Get detailed schema information for any Salesforce object, including all fields, data types, and permissions.",File System Operations,fs.readFile; fs.writeFile,no,"The tool describes reading Salesforce schema metadata, but the actual permission allows reading and writing to the local file system, which is a strictly higher-impact capability not implied by the description."
AiondaDotCom_mcp-salesforce,salesforce_query,"Execute SOQL queries against any Salesforce object. Supports SELECT, WHERE, ORDER BY, LIMIT, and other SOQL features.",File System Operations,fs.readFile; fs.writeFile,no,"The description implies only database querying, but the actual permissions include file system read/write operations which are a strictly higher-impact capability not disclosed."
AiondaDotCom_mcp-salesforce,salesforce_time_machine_query,"Query historical Salesforce data from backups using Time Machine functionality. Supports point-in-time queries, comparisons, and record history tracking.",File System Operations,fs.readdirSync,no,"Direct file system access via fs.readdirSync exceeds the implied scope of a high-level Salesforce data query tool, introducing unexpected local storage risks."
AiondaDotCom_mcp-salesforce,salesforce_update,Update an existing record in any Salesforce object. Requires the record ID and field values to update.,File System Operations,fs.readFile; fs.writeFile,no,"The description implies database record updates, but file system write operations represent a distinct and higher-impact capability not implied by the schema."
AiondaDotCom_mcp-ssh,checkConnectivity,Checks if an SSH connection to the host is possible,System Command Execution,child_process.execFile; unknown.runRemoteCommand,no,"The description implies a passive read-only check, but the actual behavior includes executing system commands, which is a higher-impact destructive capability."
AiondaDotCom_mcp-ssh,downloadFile,Downloads a file from an SSH host,System Command Execution,child_process.execFile,no,"The description implies a passive file transfer (L1/L2), but executing system commands (L3) represents a strictly higher-impact capability that allows arbitrary code execution beyond simple file retrieval."
AiondaDotCom_mcp-ssh,uploadFile,Uploads a local file to an SSH host,System Command Execution,child_process.execFileAsync,no,"The description implies file transfer (L2 write), but the actual permission includes executing system commands (L3), which is a strictly higher-impact capability not disclosed in the schema."
Albiemark_dbx-mcp-server,delete_item,"Legacy delete operation (deprecated, use safe_delete_item instead)",System Command Execution,decipher.update; final,no,"The description implies a scoped file deletion, but cryptographic APIs like 'decipher.update' suggest low-level system command execution or data processing beyond simple file removal."
Albiemark_dbx-mcp-server,download_file,"Download a file to local disk and return the file path. Files are saved to the ""downloads"" directory. (Integrates with Dropbox)",System Command Execution,decipher.update; final,no,Cryptographic operations imply low-level system processing or command execution that exceeds the baseline expectation of a simple file download.
Albiemark_dbx-mcp-server,get_account_info,Get information about the connected account (integrates with Dropbox),File System Operations,copyFileSync,no,"The description implies a read-only account info query, but file system copy operations represent a strictly higher-impact mutation capability not disclosed."
Albiemark_dbx-mcp-server,get_account_info,Get information about the connected account (integrates with Dropbox),System Command Execution,decipher.update; final,no,"The description implies a safe data fetch, whereas system-level command execution or cryptographic operations represent a significantly higher and unexpected risk profile."
Albiemark_dbx-mcp-server,get_file_content,Get the content of a file (integrates with Dropbox),System Command Execution,decipher.update; final,no,Cryptographic operations imply low-level system processing or command execution capabilities that strictly exceed the expected scope of a simple file retrieval tool.
Albiemark_dbx-mcp-server,list_files,List files in a folder (integrates with Dropbox),File System Operations,copyFileSync,no,"The description implies a read-only list operation, but the presence of copyFileSync indicates hidden write/mutation capabilities that exceed the expected baseline."
Albiemark_dbx-mcp-server,list_files,List files in a folder (integrates with Dropbox),System Command Execution,decipher.update; final,no,"The description suggests a simple file listing, but the presence of cryptographic operations like decipher.update implies low-level system processing or command execution far beyond the expected scope."
Albiemark_dbx-mcp-server,move_item,Move or rename a file or folder,System Command Execution,decipher.update; final,no,"The representative APIs suggest cryptographic operations unrelated to file moving, indicating a hidden system-level capability beyond the described scope."
Albiemark_dbx-mcp-server,upload_file,Upload a file (integrates with Dropbox),System Command Execution,decipher.update; final,no,Cryptographic operations like deciphering represent a specialized system capability strictly higher in impact than simple file uploading and are not implied by the schema.
AllenNeuralDynamics_aind-metadata-mcp,flatten_records,"Flatten a list of records into dot-notation. Args: records (list): List of dicts. depth (int, optional): How deep to flatten. Returns: list[dict]: Each record flattened.",Database Management,MetadataDbClient; aind_data_access_api.document_db.MetadataDbClient.setup_mongodb_client; retrieve_docdb_records,no,"The description implies a local in-memory data transformation (L0/L1), but the actual permission involves managing database infrastructure and clients, which is a strictly higher-impact system capability."
AminForou_mcp-gsc,add_site,"Add a site to your Search Console properties. Args: site_url: The URL of the site to add (must be exact match e.g. https://example.com, or https://www.example.com, or https://subdomain.example.com/path/, for domain properties use format: sc-domain:example.com)",File System Operations,builtins.open,no,"The description implies a remote API call to register a site, but the actual permission involves local file system access which is a distinct and unexpected capability."
AminForou_mcp-gsc,batch_url_inspection,"Inspect multiple URLs in batch (within API limits). Args: site_url: The URL of the site in Search Console (must be exact match, for domain properties use format: sc-domain:example.com) urls: List of URLs to inspect, one per line",File System Operations,builtins.open,no,"The description implies a remote API query, but file system access introduces local persistence risks not indicated by the schema."
AminForou_mcp-gsc,check_indexing_issues,"Check for specific indexing issues across multiple URLs. Args: site_url: The URL of the site in Search Console (must be exact match, for domain properties use format: sc-domain:example.com) urls: List of URLs to check, one per line",File System Operations,builtins.open,no,"The description implies a remote API query, but file system access introduces local persistence risks not implied by a read-only check."
AminForou_mcp-gsc,compare_search_periods,Compare search analytics data between two time periods. Args: site_url: The URL of the site in Search Console (must be exact match) period1_start: Start date for period 1 (YYYY-MM-DD) period1_end: End date for period 1 (YYYY-MM-DD) period2_start: Start date for period 2 (YYYY-MM-DD) period2_end: End date for period 2 (YYYY-MM-DD) dimensions: Dimensions to group by (default: query) limit: Number of top results to compare (default: 10),File System Operations,builtins.open,no,"The description implies a read-only analytics query, but file system access allows persistent local state manipulation which is a higher-impact capability not disclosed."
AminForou_mcp-gsc,compare_search_periods,Compare search analytics data between two time periods. Args: site_url: The URL of the site in Search Console (must be exact match) period1_start: Start date for period 1 (YYYY-MM-DD) period1_end: End date for period 1 (YYYY-MM-DD) period2_start: Start date for period 2 (YYYY-MM-DD) period2_end: End date for period 2 (YYYY-MM-DD) dimensions: Dimensions to group by (default: query) limit: Number of top results to compare (default: 10),Project Management Services,googleapiclient.discovery.build,no,"The tool describes reading search analytics, but project management service access implies broader administrative control over Google Cloud resources beyond the stated scope."
AminForou_mcp-gsc,delete_site,"Remove a site from your Search Console properties. Args: site_url: The URL of the site to remove (must be exact match e.g. https://example.com, or https://www.example.com, or https://subdomain.example.com/path/, for domain properties use format: sc-domain:example.com)",File System Operations,builtins.open,no,"The description implies a remote API deletion of a Search Console property, not local file system access via builtins.open."
AminForou_mcp-gsc,delete_sitemap,Delete (unsubmit) a sitemap from Google Search Console. Args: site_url: The URL of the site in Search Console (must be exact match) sitemap_url: The full URL of the sitemap to delete,File System Operations,builtins.open,no,"The description implies a remote API deletion, but file system access represents a distinct and potentially higher-impact local capability not implied by the schema."
AminForou_mcp-gsc,get_performance_overview,Get a performance overview for a specific property. Args: site_url: The URL of the site in Search Console (must be exact match) days: Number of days to look back (default: 28),File System Operations,builtins.open,no,"The description implies a remote API read operation, but file system access represents a local persistence capability that is strictly higher impact and unexpected for a data retrieval tool."
AminForou_mcp-gsc,get_search_analytics,"Get search analytics data for a specific property. Args: site_url: The URL of the site in Search Console (must be exact match) days: Number of days to look back (default: 28) dimensions: Dimensions to group by (default: query). Options: query, page, device, country, date You can provide multiple dimensions separated by comma (e.g., ""query,page"")",File System Operations,builtins.open,no,"The tool description implies a read-only API query, but file system access allows persistent local state manipulation which is a higher-impact capability not implied by fetching analytics data."
AminForou_mcp-gsc,get_search_by_page_query,"Get search analytics data for a specific page, broken down by query. Args: site_url: The URL of the site in Search Console (must be exact match) page_url: The specific page URL to analyze days: Number of days to look back (default: 28)",File System Operations,builtins.open,no,"The tool description implies a remote API data fetch (L1), but file system operations represent local persistent storage access (L2) which is a higher-impact capability not disclosed."
AminForou_mcp-gsc,get_site_details,Get detailed information about a specific Search Console property. Args: site_url: The URL of the site in Search Console (must be exact match),File System Operations,builtins.open,no,"The tool description implies a remote API read operation, but file system access represents a local persistence capability that is strictly higher impact and unexpected."
AminForou_mcp-gsc,get_sitemap_details,Get detailed information about a specific sitemap. Args: site_url: The URL of the site in Search Console (must be exact match) sitemap_url: The full URL of the sitemap to inspect,File System Operations,builtins.open,no,"The description implies a remote API read operation, but file system access represents a local persistence capability that is strictly higher impact and unexpected."
AminForou_mcp-gsc,get_sitemaps,List all sitemaps for a specific Search Console property. Args: site_url: The URL of the site in Search Console (must be exact match),File System Operations,builtins.open,no,"The description implies a remote API read operation, but file system access introduces local persistence risks not implied by the schema."
AminForou_mcp-gsc,inspect_url_enhanced,"Enhanced URL inspection to check indexing status and rich results in Google. Args: site_url: The URL of the site in Search Console (must be exact match, for domain properties use format: sc-domain:example.com) page_url: The specific URL to inspect",File System Operations,builtins.open,no,"The description implies a remote API query, but file system access allows local data exfiltration or manipulation beyond the stated scope."
AminForou_mcp-gsc,inspect_url_enhanced,"Enhanced URL inspection to check indexing status and rich results in Google. Args: site_url: The URL of the site in Search Console (must be exact match, for domain properties use format: sc-domain:example.com) page_url: The specific URL to inspect",Project Management Services,googleapiclient.discovery.build,no,General project management service access implies broader administrative capabilities than the specific URL inspection task described.
AminForou_mcp-gsc,list_properties,Retrieves and returns the user's Search Console properties.,File System Operations,builtins.open,no,"The description implies a remote API read operation, but file system access represents a local persistence capability that exceeds the expected scope of listing remote properties."
AminForou_mcp-gsc,list_sitemaps_enhanced,List all sitemaps for a specific Search Console property with detailed information. Args: site_url: The URL of the site in Search Console (must be exact match) sitemap_index: Optional sitemap index URL to list child sitemaps,File System Operations,builtins.open,no,"The description implies a remote API query, but file system access allows local file manipulation which is a higher-impact capability not implied by the schema."
AminForou_mcp-gsc,submit_sitemap,Submit a new sitemap or resubmit an existing one to Google. Args: site_url: The URL of the site in Search Console (must be exact match) sitemap_url: The full URL of the sitemap to submit,File System Operations,builtins.open,no,"The description implies a network API call to submit URLs, but the actual implementation reads local files via builtins.open, introducing unexpected local file system access."
