project,tool,description,permission,apis,inferable_from_description,qwen_reason,deepseek_reason
AgentOps-AI_agentops-mcp,auth,"Authorize using the AGENTOPS_API_KEY. If the API key is not provided and cannot be found in the directory, ask the user for the API key.",System Command Execution,clean,no,"The description suggests simple authentication logic, but the presence of a 'clean' API indicates system-level command execution or file manipulation that exceeds the implied scope.","Executing a 'clean' command is a mutating action beyond the described authentication, posing a higher impact not disclosed."
AgentOps-AI_agentops-mcp,get_complete_trace,Reserved for explicit requests for COMPLETE or ALL data. Get complete trace information and metrics by trace_id.,System Command Execution,clean,no,"The description implies a passive L1 read operation, but the representative API suggests active system command execution, which is a strictly higher-impact L3 capability.",Executing a 'clean' command is a destructive operation strictly higher impact than the implied read-only trace retrieval.
AgentOps-AI_agentops-mcp,get_span,Get span information and metrics by span_id.,System Command Execution,clean,no,"The description implies a passive L1 read operation, but system command execution represents a significantly higher-impact L3 capability that was not disclosed.","The 'clean' API indicates a system command execution capability that exceeds the described read-only retrieval, creating a hidden destructive risk."
AgentOps-AI_agentops-mcp,get_trace,Get trace information and metrics by trace_id.,System Command Execution,clean,no,"The description implies a passive L1 read operation, but system command execution represents a strictly higher-impact L3 capability with destructive potential.","The tool is described as a read-only getter, but 'clean' suggests hidden system command execution, which is strictly higher impact."
AiondaDotCom_mcp-salesforce,salesforce_auth,Authenticate with Salesforce. Automatically detects if authentication is needed and handles OAuth flow. Call this tool if any Salesforce operations fail due to authentication issues.,File System Operations,fs.readFile; fs.writeFile,no,"The description implies authentication plumbing (L0), but file system write operations represent a strictly higher-impact capability (L2) not disclosed in the schema.","Description covers only authentication, but actual capability includes reading, writing, and modifying files which is a strictly higher-impact mutation."
AiondaDotCom_mcp-salesforce,salesforce_backup_status,"Check the status of Salesforce backup jobs. Monitor running, completed, or failed backup operations. Use without parameters to see all jobs, or specify a job_id to get detailed status of a specific backup job.",File System Operations,fs.readFile; fs.readdir,no,"The description implies a high-level status check, but the actual permission includes direct file system read access which is a lower-level capability not disclosed in the schema.","Tool description implies read-only status checks but actual file system operations include directory creation (fs.mkdir), which is a write action exceeding the read baseline."
AiondaDotCom_mcp-salesforce,salesforce_create,Create a new record in any Salesforce object. Automatically handles required fields validation.,File System Operations,fs.readFile; fs.writeFile,no,"The description implies database record creation, but file system read/write operations represent a distinct and unexpected persistence mechanism outside the Salesforce domain.","The description only implies remote Salesforce record creation, but filesystem mutations like file writes and permission changes are an entirely different, undisclosed domain with elevated local impact."
AiondaDotCom_mcp-salesforce,salesforce_delete,Delete a record from any Salesforce object. This action is permanent and cannot be undone.,File System Operations,fs.readFile; fs.writeFile,no,"The description implies Salesforce record deletion, but the actual permission allows arbitrary file system read/write operations which are a strictly higher-impact capability outside the stated domain.","The tool is described as permanently deleting a Salesforce record, but file system operations like writing local files and changing permissions are an unrelated and higher-impact capability not disclosed."
AiondaDotCom_mcp-salesforce,salesforce_describe,"Get detailed schema information for any Salesforce object, including all fields, data types, and permissions.",File System Operations,fs.readFile; fs.writeFile,no,"The tool describes reading Salesforce schema metadata, but the actual permission allows reading and writing to the local file system, which is a strictly higher-impact capability not implied by the description.","Tool describes read-only schema retrieval but includes file write and permission change APIs, strictly elevating impact to mutation."
AiondaDotCom_mcp-salesforce,salesforce_query,"Execute SOQL queries against any Salesforce object. Supports SELECT, WHERE, ORDER BY, LIMIT, and other SOQL features.",File System Operations,fs.readFile; fs.writeFile,no,"The description implies only database querying, but the actual permissions include file system read/write operations which are a strictly higher-impact capability not disclosed.","File write and permission changes exceed the read-only query baseline, introducing undisclosed mutation risk."
AiondaDotCom_mcp-salesforce,salesforce_update,Update an existing record in any Salesforce object. Requires the record ID and field values to update.,File System Operations,fs.readFile; fs.writeFile,no,"The description implies database record updates, but file system write operations represent a distinct and higher-impact capability not implied by the schema.","Description implies remote Salesforce record updates only, but APIs include local file system write and permission changes, which is a hidden local mutability exceeding the described scope."
Albiemark_dbx-mcp-server,get_account_info,Get information about the connected account (integrates with Dropbox),File System Operations,copyFileSync,no,"The description implies a read-only account info query, but file system copy operations represent a strictly higher-impact mutation capability not disclosed.","Description implies read-only account info retrieval (L1) but APIs include file write (mkdirSync, copyFileSync) and delete (unlinkSync) operations, exceeding the disclosed baseline."
Albiemark_dbx-mcp-server,list_files,List files in a folder (integrates with Dropbox),File System Operations,copyFileSync,no,"The description implies a read-only list operation, but the presence of copyFileSync indicates hidden write/mutation capabilities that exceed the expected baseline.","Description implies only listing files but actual APIs include copy, create directory, and delete operations, elevating impact from read to write and delete."
AllenNeuralDynamics_aind-metadata-mcp,flatten_records,"Flatten a list of records into dot-notation. Args: records (list): List of dicts. depth (int, optional): How deep to flatten. Returns: list[dict]: Each record flattened.",Database Management,MetadataDbClient; retrieve_docdb_records,no,"The description implies a local in-memory data transformation (L0/L1), but the actual permission involves managing database infrastructure and clients, which is a strictly higher-impact system capability.","Description implies a pure transformation of user-provided records, but the tool actually retrieves records from a database, elevating impact from stateless computation to data read access."
AnglerfishChess_chess-uci-mcp,analyze,Analyze a chess position. Args: fen: FEN string representation of the position time_ms: Time to think in milliseconds (default uses bridge setting) Returns: Analysis results,System Command Execution,analyze_position,no,"The description implies a safe read-only analysis operation, but the actual permission allows executing system commands, which is a strictly higher-impact capability.","The description implies a read-only positional analysis, but the actual permission involves executing system commands, which is a strictly higher-impact capability that could surprise an agent."
AnglerfishChess_chess-uci-mcp,get_best_move,"Get best move for current or specified position. Args: fen: FEN string (optional, if omitted uses current position) time_ms: Time to think in milliseconds (default uses bridge setting) Returns: Best move in UCI format (e.g., ""e2e4"")",System Command Execution,get_best_move,no,"The description implies a read-only calculation (L1), but the actual permission allows executing system commands (L3), which is a strictly higher-impact capability.","Description implies a read-only chess move query, but the implementation executes a system command, which is a higher-impact capability (L3) not disclosed."
Antonytm_mcp-sitecore-server,indexing-find-item,"Finds items using the Sitecore Content Search API. Date format should be in ISO 8601 format (e.g., '2023-10-01T00:00:00Z').",System Command Execution,client.executeScriptJson,no,"The description implies a read-only search operation, but the actual permissions include executing system commands and scripts, which is a strictly higher-impact capability.",executeScriptJson is an execution capability that exceeds the described find/search read-only operation.
Antonytm_mcp-sitecore-server,logging-get-logs,Retrieves Sitecore logs from the log directory.,System Command Execution,runGenericPowershellCommand,no,"The description implies a passive read operation (L1), but the actual permission allows executing system commands (L3), which is a strictly higher-impact capability.","Description implies read-only log retrieval but actual behavior includes executing system commands, a strictly higher-impact capability."
Antonytm_mcp-sitecore-server,presentation-set-layout-by-path,Sets layout for an item specified by path.,System Command Execution,runGenericPowershellCommand,no,"The description implies a scoped application configuration change, whereas system command execution represents a strictly higher-impact capability involving arbitrary script or shell access.","Description implies layout mutation (L2), but representative API reveals execution of arbitrary PowerShell commands (L3), a strictly higher-impact capability and a material surprise risk."
Antonytm_mcp-sitecore-server,security-add-role-member,Adds a member to a Sitecore role.,System Command Execution,runGenericPowershellCommand,no,"The description implies a standard application-level configuration change, but the actual implementation executes arbitrary PowerShell scripts, representing a significantly higher-impact system command execution capability.","Executing arbitrary PowerShell commands is a strictly higher-impact capability than the described role-member addition, creating a material risk of unauthorized system actions."
Antonytm_mcp-sitecore-server,security-remove-role-member,Removes members from a Sitecore role.,System Command Execution,runGenericPowershellCommand,no,"The description implies a standard API-based role management action, but the actual implementation executes arbitrary PowerShell scripts, representing a significantly higher-impact capability than described.","Running a generic PowerShell command is a strictly higher-impact capability than the specific member-removal action described, exposing arbitrary execution not disclosed in the tool description."
Aryan-Jhaveri_mcp-foodguidecanada,compare_intake_to_dri,"Compare actual macronutrient intake against DRI recommendations. This tool evaluates how an individual's actual nutrient intake compares to Health Canada's DRI recommendations, providing percentage adequacy and recommendations for dietary adjustments. Comparison metrics calculated: - Percentage of EAR (Estimated Average Requirement) met - Percentage of RDA/AI (Recommended Dietary Allowance/Adequate Intake) met - Assessment against UL (Tolerable Upper Intake Level) if applicable - AMDR compliance for macronutrient distribution - Risk assessment for inadequate or excessive intake Use this tool when: - Conducting personalized nutrition assessments - Providing dietary counseling and recommendations - Evaluating dietary adequacy for individuals - Creating nutrition improvement plans - Research involving dietary intake analysis Args: input_data: Contains: - age_range: Individual's age range for DRI lookup - gender: Individual's gender category - intake_data: Dict of actual nutrient intakes (nutrient_name: amount) - comparison_type: ""all"" for complete analysis or specific nutrient name Returns: Comprehensive comparison analysis with adequacy percentages, risk assessments, and specific recommendations for dietary improvements CRITICAL: This tool provides structured data for analysis. For ALL calculations use simple_math_calculator: - Adequacy percentages: simple_math_calculator(expression=""(intake/rda)*100"", variables=from_this_tool) - Deficit assessment: simple_math_calculator(expression=""rda - intake"", variables=from_this_tool) - UL risk evaluation: simple_math_calculator(expression=""(intake/ul)*100"", variables=from_this_tool) - Multiple nutrient analysis: Use simple_math_calculator for each nutrient separately",File System Operations,os.makedirs,no,"The description implies a stateless calculation returning structured data, but file system write operations represent a higher-impact persistence capability not disclosed.","Description implies read-only analysis, but os.makedirs creates directories, introducing a hidden file system write capability."
Aryan-Jhaveri_mcp-foodguidecanada,get_amino_acid_patterns,"Get amino acid patterns for protein quality evaluation using PDCAAS method. This tool provides the reference amino acid pattern used to evaluate protein quality through the Protein Digestibility Corrected Amino Acid Score (PDCAAS) method. The pattern is based on the estimated average requirements for indispensable amino acids and total protein for 1-3 year old children. Essential amino acids included: - Histidine: 18 mg/g protein - Isoleucine: 25 mg/g protein - Leucine: 55 mg/g protein - Lysine: 51 mg/g protein - Methionine + Cysteine: 25 mg/g protein - Phenylalanine + Tyrosine: 47 mg/g protein - Threonine: 27 mg/g protein - Tryptophan: 7 mg/g protein - Valine: 32 mg/g protein Use this tool when: - Evaluating protein quality in foods and diets - Calculating Protein Digestibility Corrected Amino Acid Scores (PDCAAS) - Developing protein complementation strategies - Assessing adequacy of vegetarian and vegan diets - Creating nutrition analysis applications - Research involving protein quality assessment Returns: Complete amino acid pattern data with reference values in mg/g protein, along with methodology notes and source information CRITICAL: This tool provides amino acid patterns only. For ALL calculations use simple_math_calculator: - PDCAAS calculation: simple_math_calculator(expression=""(food_amino/reference_amino)*100"", variables={""food_amino"": analyzed, ""reference_amino"": from_this_tool}) - Protein quality: simple_math_calculator(expression=""min_score * digestibility"", variables={""min_score"": lowest_amino_score, ""digestibility"": coefficient}) - Amino acid adequacy: simple_math_calculator(expression=""(intake/pattern)*protein_grams"", variables={""intake"": actual, ""pattern"": from_tool, ""protein_grams"": total})",File System Operations,os.makedirs,no,"The description implies a read-only data retrieval operation, but file system write APIs (os.makedirs) introduce unexpected persistence side effects.","Creating directories via os.makedirs is a write operation, exceeding the read-only baseline of fetching reference data."
Aryan-Jhaveri_mcp-foodguidecanada,get_dri_lookup_from_session,"Retrieve specific DRI values from session-cached data. This tool provides fast access to DRI values from data already stored in the virtual session, eliminating the need for repeated website requests. Perfect for building complex nutrition analysis workflows with multiple DRI lookups. MATH TOOL INTEGRATION: This tool provides DRI reference values for comparison. ALWAYS use simple_math_calculator for any calculations involving these values: - Adequacy percentages: simple_math_calculator(expression=""(intake/rda)*100"", variables={""intake"": actual, ""rda"": dri_value}) - Deficit calculations: simple_math_calculator(expression=""rda - intake"", variables={""rda"": dri_value, ""intake"": actual}) - AMDR compliance: simple_math_calculator(expression=""(nutrient_cals/total_cals)*100"", variables={""nutrient_cals"": value, ""total_cals"": total}) Prerequisites: Must run store_dri_tables_in_session first to populate session data. Supported macronutrients: - carbohydrate, protein, total_fat, linoleic_acid, alpha_linolenic_acid, total_fibre, total_water Use this tool when: - Looking up specific DRI values during nutrition analysis - Building personalized nutrition recommendations - Comparing individual nutrients against reference values - Creating nutrition education content with official values Args: session_id: Virtual session containing cached DRI data age_range: Target age range (e.g., ""19-30 y"", ""4-8 y"") gender: Target gender (""males"", ""females"") or None for general macronutrient: Nutrient type to retrieve values for Returns: Dict with specific DRI values (EAR, RDA/AI, UL) and math tool formulas",File System Operations,os.makedirs,no,"The tool is described as a read-only lookup from session cache, but the actual permission allows creating directories on the file system, which is a higher-impact mutating operation not implied by the description.","The tool is described as read-only retrieval from a session cache, but os.makedirs introduces an undisclosed file system write side effect."
Aryan-Jhaveri_mcp-foodguidecanada,get_specific_macronutrient_dri,"Get DRI values for a specific macronutrient, age group, and gender. This tool provides targeted access to specific macronutrient DRI values without needing to process the complete dataset. Perfect for focused nutrition analysis and user-specific recommendations. Supported macronutrients: - carbohydrate: Digestible carbohydrate values - protein: Protein values in g/kg/day and g/day - total_fat: Total fat adequate intake values - linoleic_acid: Essential n-6 fatty acid values - alpha_linolenic_acid: Essential n-3 fatty acid values - total_fibre: Dietary fibre adequate intake values - total_water: Total water adequate intake values Use this tool when: - Calculating specific nutrient needs for individuals - Building personalized nutrition recommendations - Comparing single nutrient intakes against DRI values - Creating targeted dietary guidance Args: input_data: Contains: - age_range: Age range (e.g., ""19-30 y"", ""4-8 y"") - gender: Gender category (""males"", ""females"") or None for general - macronutrient: Type of macronutrient to retrieve - force_refresh: Whether to bypass cache Returns: Specific macronutrient DRI data including EAR, RDA/AI, UL values with units and footnote references, or error message if not found CRITICAL: This tool provides reference values only. For ALL calculations use simple_math_calculator: - Adequacy percentage: simple_math_calculator(expression=""(intake/rda)*100"", variables={""intake"": actual, ""rda"": from_this_tool}) - Deficit/surplus: simple_math_calculator(expression=""intake - rda"", variables={""intake"": actual, ""rda"": from_this_tool}) - UL assessment: simple_math_calculator(expression=""(intake/ul)*100"", variables={""intake"": actual, ""ul"": from_this_tool})",File System Operations,os.makedirs,no,"The description implies a read-only data lookup, but file system write operations (os.makedirs) represent a higher-impact mutation capability not disclosed.","Description implies read-only data retrieval, but tool creates directories on the filesystem, a write operation with higher impact than the described baseline."
Aryan-Jhaveri_mcp-foodguidecanada,list_filters,"Discover available search filters for Canada's Food Guide recipes. This tool provides the complete catalog of filter options that can be used with the search_recipes tool to find recipes that match specific dietary needs, cooking methods, meal types, and food categories. Filters are organized according to Canada's Food Guide food groups and practical cooking considerations: Food Categories (aligned with Canada's Food Guide): - vegetables: All vegetable types featured in Canadian recipes - fruits: Fresh, frozen, and dried fruits used in cooking - proteins: Both animal and plant-based protein sources - whole_grains: Whole grain options promoted for optimal nutrition Practical Filters: - meal: Meal occasions and course types (breakfast, lunch, dinner, snacks) - cooking_appliance: Kitchen equipment needed (accommodates various cooking setups) - collections: Special dietary categories and cooking themes This information helps users discover the full range of recipe options available and construct precise searches that match their dietary preferences, available ingredients, cooking equipment, and meal planning needs. Args: filter_type: Specific filter category to retrieve (optional). Valid options: - ""vegetables"" - All vegetable filter options - ""fruits"" - All fruit filter options - ""proteins"" - All protein source filter options - ""whole_grains"" - All whole grain filter options - ""meal"" - All meal type and course filter options - ""cooking_appliance"" - All cooking equipment filter options - ""collections"" - All special dietary and theme collections If not specified, returns all filter categories. Returns: Dictionary mapping filter categories to their available values. Each category contains a list of specific filter options that can be used in recipe searches. Also includes source attribution for transparency. Source: Health Canada's Food Guide - https://food-guide.canada.ca/",Specialized Domain Data Services,update_filters_from_website,no,"The tool is described as listing static filters, but the API suggests active network synchronization or updates which exceeds the implied read-only baseline.","Description implies simple retrieval, but update_filters_from_website indicates a mutation that may alter stored filter data, an undisclosed higher-impact side effect."
Aryan1718_GoogleSheet MCP,add_data_to_sheet,Add data to a sheet,System Command Execution,eval,no,"The description implies structured data entry, but arbitrary code execution via eval is a strictly higher-impact L3 capability that poses unexpected security risks.","eval enables arbitrary code execution, a strictly higher-impact capability not implied by adding data."
AryanK1511_custom-mcp-servers_raspberrypi,create_file_on_pi,"Create a file on the Raspberry Pi * Args: * filename (str): The name of the file to create * path (str): The path to create the file in. * The path will always be relative to the home directory. * If no path is provided, the file will be created in the home directory. * content (str): The content of the file * Returns: * str: A success message",System Command Execution,RaspberryPiAdapter.connect; app.adapters.raspberrypi_adapter.RaspberryPiAdapter; app.adapters.raspberrypi_adapter.RaspberryPiAdapter.execute_command; app.tools.raspberrypi_tool.RaspberryPiTool; paramiko.AutoAddPolicy; paramiko.SSHClient; set_missing_host_key_policy,no,"The description implies only file creation (L2), but the actual implementation involves SSH connection and arbitrary command execution (L3), which is a strictly higher-impact capability not disclosed.","Description only implies simple file creation (L2), but the tool internally uses SSH command execution (L3), a higher-impact capability that could allow arbitrary system commands beyond safe file writes."
Atharva-Gundawar_macOS_gui,get_screen_buttons_textarea,"Get the screenshot of the opened app, coordinates of its buttons and textarea. Needs the bundle id of the app. Args: bundle_id: str - The bundle id of the app to get the screenshot, buttons, and textarea of. Returns: tuple[Image, str, str]: A tuple containing the screenshot of the opened app, coordinates of its buttons, and coordinates of its textarea. Bundle ids: - Notes: com.apple.Notes - Voice Memos: com.apple.VoiceMemos - Mail: com.apple.Mail - Reminders: com.apple.reminders - Safari: com.apple.Safari - Maps: com.apple.Maps - Photos: com.apple.Photos - Music: com.apple.Music - Weather: com.apple.weather",System Command Execution,subprocess.call; subprocess.run,no,"The description implies a passive read operation (screenshot/coordinates), but system command execution represents a higher-impact capability that allows arbitrary code or process control.","Tool description implies read-only UI retrieval (L1), but actual behavior includes arbitrary system command execution (L3) via subprocess, which is a strictly higher-impact side effect."
