cache_entry_id,language,api_name,hidden_api_cache_entry_refs,unique_project_cache_entry_pairs,unique_project_tool_cache_entry_triples,permissions
Python::awslabs.redshift_mcp_server.session_manager.session,Python,awslabs.redshift_mcp_server.session_manager.session,4,1,4,Database Management
Python::azure.ai.projects.AIProjectClient.agents.create_agent,Python,azure.ai.projects.AIProjectClient.agents.create_agent,1,1,1,Specialized Domain Data Services
Python::azure.ai.projects.models.AzureAISearchTool,Python,azure.ai.projects.models.AzureAISearchTool,1,1,1,Specialized Domain Data Services
Python::azure.mgmt.apimanagement.ApiManagementClient.authorization_access_policy.create_or_update,Python,azure.mgmt.apimanagement.ApiManagementClient.authorization_access_policy.create_or_update,3,3,3,Cloud Infrastructure Management
Python::azure.mgmt.apimanagement.models.AuthorizationAccessPolicyContract,Python,azure.mgmt.apimanagement.models.AuthorizationAccessPolicyContract,3,3,3,Cloud Infrastructure Management
Python::begin,Python,begin,1,1,1,Financial and Blockchain Services
Python::bioos.webinstanceapp,Python,bioos.webinstanceapp,1,1,1,Cloud Infrastructure Management
Python::blender.send_command,Python,blender.send_command,24,3,24,System Command Execution
Python::boto3.Session,Python,boto3.Session,3,3,3,Cloud Infrastructure Management
Python::boto3.Session.client,Python,boto3.Session.client,1,1,1,Cloud Infrastructure Management
Python::boto3.client,Python,boto3.client,6,6,6,Cloud Infrastructure Management
Python::boto3.client.get_data_automation_status,Python,boto3.client.get_data_automation_status,1,1,1,Cloud Infrastructure Management
Python::boto3.client.invoke_data_automation_async,Python,boto3.client.invoke_data_automation_async,1,1,1,Cloud Infrastructure Management
Python::boto3.client.search_text,Python,boto3.client.search_text,1,1,1,Cloud Infrastructure Management
Python::boto3.download_from_s3,Python,boto3.download_from_s3,1,1,1,Cloud Infrastructure Management
Python::boto3.get_account_id,Python,boto3.get_account_id,1,1,1,Cloud Infrastructure Management
Python::boto3.get_profile_arn,Python,boto3.get_profile_arn,1,1,1,Cloud Infrastructure Management
Python::boto3.s3.upload_file,Python,boto3.s3.upload_file,2,2,2,Cloud Infrastructure Management
Python::boto3.upload_to_s3,Python,boto3.upload_to_s3,1,1,1,Cloud Infrastructure Management
Python::botocore.config.Config,Python,botocore.config.Config,6,6,6,Cloud Infrastructure Management
Python::browser_use.Agent,Python,browser_use.Agent,3,3,3,Browser Automation and Web Interaction
Python::browser_use.Agent.run,Python,browser_use.Agent.run,2,2,2,Browser Automation and Web Interaction
Python::browser_use.Browser.close,Python,browser_use.Browser.close,2,2,2,Browser Automation and Web Interaction
Python::builtins.eval,Python,builtins.eval,23,12,23,System Command Execution
Python::builtins.exec,Python,builtins.exec,4,4,4,System Command Execution
Python::builtins.open,Python,builtins.open,4,4,4,File System Operations
Python::bulk_operations_wizard.BulkOperationsWizard.start_wizard,Python,bulk_operations_wizard.BulkOperationsWizard.start_wizard,3,1,3,System Command Execution
Python::business_request.database.DatabaseConnection.execute_query,Python,business_request.database.DatabaseConnection.execute_query,1,1,1,Database Management
Python::c4d_connection_context,Python,c4d_connection_context,8,1,8,System Command Execution
Python::check_syntax,Python,check_syntax,1,1,1,System Command Execution
Python::checkout,Python,checkout,12,2,12,System Command Execution
Python::child_window,Python,child_window,1,1,1,System Command Execution
Python::chromadb.Collection.add,Python,chromadb.Collection.add,1,1,1,Database Management
Python::chromadb.Collection.get,Python,chromadb.Collection.get,1,1,1,Database Management
Python::chromadb.api.collection.Collection.count,Python,chromadb.api.collection.Collection.count,1,1,1,Database Management
Python::cleanup_repository,Python,cleanup_repository,1,1,1,File System Operations
Python::click_input,Python,click_input,1,1,1,System Command Execution
Python::clickhouse_connect,Python,clickhouse_connect,1,1,1,Database Management
Python::clickhouse_connect.client.command,Python,clickhouse_connect.client.command,1,1,1,Specialized Domain Data Services
Python::clickhouse_connect.driver.client.command,Python,clickhouse_connect.driver.client.command,1,1,1,Database Management
Python::clickhouse_connect.get_client,Python,clickhouse_connect.get_client,1,1,1,Database Management
Python::client.download_batch_results,Python,client.download_batch_results,1,1,1,Specialized Domain Data Services
Python::client.modules.exploits,Python,client.modules.exploits,1,1,1,System Command Execution
Python::client.query,Python,client.query,1,1,1,Database Management
Python::clone_from,Python,clone_from,3,1,3,File System Operations
Python::close_connection,Python,close_connection,2,1,2,Specialized Domain Data Services
Python::close_connections,Python,close_connections,10,1,10,Cloud Infrastructure Management
Python::cmd.ray,Python,cmd.ray,1,1,1,System Command Execution
Python::cmd.viewport,Python,cmd.viewport,1,1,1,System Command Execution
Python::config.detect_xlm_macros,Python,config.detect_xlm_macros,1,1,1,System Command Execution
Python::config.load_ssh_config,Python,config.load_ssh_config,1,1,1,System Command Execution
Python::convert,Python,convert,4,3,4,System Command Execution
Python::crawl4ai.arun,Python,crawl4ai.arun,1,1,1,File System Operations
Python::create_and_process_run,Python,create_and_process_run,3,2,3,AI and Machine Learning Services
Python::create_connection,Python,create_connection,1,1,1,System Command Execution
Python::create_memory,Python,create_memory,4,1,4,System Command Execution
Python::create_message,Python,create_message,3,2,3,AI and Machine Learning Services
Python::create_pool,Python,create_pool,2,1,2,Database Management
Python::create_ptz_service,Python,create_ptz_service,1,1,1,Cloud Infrastructure Management
Python::create_session,Python,create_session,1,1,1,Browser Automation and Web Interaction
Python::create_thread,Python,create_thread,3,2,3,AI and Machine Learning Services
Python::cursor.execute,Python,cursor.execute,3,2,3,Database Management
Python::cursor.fetchall,Python,cursor.fetchall,2,1,2,Database Management
Python::cv2.imread,Python,cv2.imread,1,1,1,File System Operations
Python::cv2.imwrite,Python,cv2.imwrite,4,2,4,File System Operations
Python::dataset.async_parse_documents,Python,dataset.async_parse_documents,1,1,1,Specialized Domain Data Services
Python::db.MCPDatabase.create,Python,db.MCPDatabase.create,1,1,1,System Command Execution
Python::db.MCPDatabase.search,Python,db.MCPDatabase.search,1,1,1,System Command Execution
Python::db_client.execute,Python,db_client.execute,1,1,1,Database Management
Python::describe_workspace,Python,describe_workspace,1,1,1,Cloud Infrastructure Management
Python::device.DeviceManager.connect,Python,device.DeviceManager.connect,2,2,2,System Command Execution
Python::device.DeviceManager.get_device,Python,device.DeviceManager.get_device,25,2,25,System Command Execution
Python::device.DeviceManager.get_device.get_package_version_name,Python,device.DeviceManager.get_device.get_package_version_name,1,1,1,System Command Execution
Python::device.DeviceManager.get_device.get_top_activities,Python,device.DeviceManager.get_device.get_top_activities,1,1,1,System Command Execution
Python::device.DeviceManager.get_device.wm_density,Python,device.DeviceManager.get_device.wm_density,1,1,1,System Command Execution
Python::dihedral,Python,dihedral,1,1,1,System Command Execution
Python::dispose,Python,dispose,1,1,1,Database Management
Python::download_from_s3,Python,download_from_s3,1,1,1,Cloud Infrastructure Management
Python::driver.get,Python,driver.get,1,1,1,Browser Automation and Web Interaction
Python::drop_rel,Python,drop_rel,1,1,1,Cloud Infrastructure Management
Python::ebook_mcp.tools.pdf_helper.extract_page_text,Python,ebook_mcp.tools.pdf_helper.extract_page_text,1,1,1,System Command Execution
Python::encrypt,Python,encrypt,1,1,1,File System Operations
Python::eprint,Python,eprint,1,1,1,System Command Execution
Python::eval,Python,eval,12,9,12,System Command Execution
Python::eval_code,Python,eval_code,3,1,3,System Command Execution
Python::exec_command,Python,exec_command,1,1,1,System Command Execution
Python::execute_audit_api,Python,execute_audit_api,2,2,2,Cloud Infrastructure Management
Python::execute_news_task,Python,execute_news_task,1,1,1,Project Management Services
Python::executor,Python,executor,1,1,1,Project Management Services
Python::expect_navigation,Python,expect_navigation,1,1,1,Browser Automation and Web Interaction
Python::explain_tool.explain_with_hypothetical_indexes,Python,explain_tool.explain_with_hypothetical_indexes,1,1,1,Database Management
Python::exponential_variate,Python,exponential_variate,1,1,1,System Command Execution
Python::export,Python,export,2,2,2,Database Management; System Command Execution
Python::export_chat_invite_link,Python,export_chat_invite_link,1,1,1,Project Management Services
Python::export_html,Python,export_html,1,1,1,File System Operations
Python::export_tools.export_global_tool,Python,export_tools.export_global_tool,1,1,1,System Command Execution
Python::facets_mcp.utils.ftf_command_utils.run_ftf_command,Python,facets_mcp.utils.ftf_command_utils.run_ftf_command,1,1,1,System Command Execution
Python::fastmcp.Context,Python,fastmcp.Context,5,5,5,System Command Execution
Python::fastmcp.FastMCP.tools.values,Python,fastmcp.FastMCP.tools.values,2,1,2,System Command Execution
Python::fastmcp.add_event,Python,fastmcp.add_event,1,1,1,Database Management
Python::fastmcp.run_obdiag_command,Python,fastmcp.run_obdiag_command,1,1,1,System Command Execution
Python::feature_manager.execute_tool,Python,feature_manager.execute_tool,1,1,1,System Command Execution
Python::finalize,Python,finalize,1,1,1,Database Management
Python::find_and_index_tools,Python,find_and_index_tools,2,2,2,System Command Execution
Python::find_process_by_port,Python,find_process_by_port,2,1,2,System Command Execution
Python::forcebuy,Python,forcebuy,1,1,1,System Command Execution
Python::from_client_config,Python,from_client_config,3,1,3,Specialized Domain Data Services
Python::frontmatter.dump,Python,frontmatter.dump,1,1,1,File System Operations
Python::fs.readFile,Python,fs.readFile,137,41,137,File System Operations
Python::futu.OpenSecTradeContext,Python,futu.OpenSecTradeContext,2,1,2,Financial and Blockchain Services
Python::generate_presigned_url,Python,generate_presigned_url,2,2,2,Cloud Infrastructure Management
Python::geo-routes,Python,geo-routes,1,1,1,Cloud Infrastructure Management
Python::getAllTitles,Python,getAllTitles,1,1,1,System Command Execution
Python::getXAddrs,Python,getXAddrs,1,1,1,System Command Execution
Python::get_activity_segments,Python,get_activity_segments,1,1,1,System Command Execution
Python::get_best_move,Python,get_best_move,1,1,1,System Command Execution
Python::get_bucket_name,Python,get_bucket_name,1,1,1,Cloud Infrastructure Management
Python::get_call_graph,Python,get_call_graph,1,1,1,System Command Execution
Python::get_config.get_client_config,Python,get_config.get_client_config,1,1,1,Database Management
Python::get_entry,Python,get_entry,1,1,1,System Command Execution
Python::get_exports,Python,get_exports,2,2,2,System Command Execution
Python::get_group_mfa_status,Python,get_group_mfa_status,1,1,1,System Command Execution
Python::get_http_client,Python,get_http_client,1,1,1,Specialized Domain Data Services
Python::get_image,Python,get_image,1,1,1,Cloud Infrastructure Management
Python::get_jailbreak_score,Python,get_jailbreak_score,9,1,9,AI and Machine Learning Services
Python::get_meminfo,Python,get_meminfo,2,2,2,System Command Execution
Python::get_notebook_path,Python,get_notebook_path,1,1,1,File System Operations
Python::get_object,Python,get_object,1,1,1,Cloud Infrastructure Management
Python::get_oncokb_annotation_for_variant,Python,get_oncokb_annotation_for_variant,1,1,1,File System Operations
Python::get_outputs,Python,get_outputs,1,1,1,System Command Execution
Python::get_postgres_version,Python,get_postgres_version,1,1,1,Database Management
Python::get_query_tag_param,Python,get_query_tag_param,2,1,2,Database Management
Python::get_region,Python,get_region,1,1,1,Cloud Infrastructure Management
Python::get_segments,Python,get_segments,2,2,2,System Command Execution
Python::get_size,Python,get_size,1,1,1,Database Management
Python::get_sources_details,Python,get_sources_details,1,1,1,Database Management
Python::get_statement_result,Python,get_statement_result,4,1,4,Database Management
Python::get_tids,Python,get_tids,2,2,2,System Command Execution
Python::get_uid,Python,get_uid,2,2,2,System Command Execution
Python::get_unprocessed_emails,Python,get_unprocessed_emails,1,1,1,Database Management
Python::get_variables,Python,get_variables,1,1,1,System Command Execution
Python::get_workspace_details,Python,get_workspace_details,1,1,1,Cloud Infrastructure Management
Python::github.Github.get_user,Python,github.Github.get_user,1,1,1,Project Management Services
Python::graph_client.fetch_func,Python,graph_client.fetch_func,1,1,1,AI and Machine Learning Services
Python::graphiti_core.utils.maintenance.graph_data_operations.clear_data,Python,graphiti_core.utils.maintenance.graph_data_operations.clear_data,1,1,1,File System Operations
Python::handle_log_system_pattern,Python,handle_log_system_pattern,1,1,1,System Command Execution
Python::has_focus,Python,has_focus,1,1,1,System Command Execution
Python::headless_ida_mcp_server.helper.cfunc.del_orphan_cmts,Python,headless_ida_mcp_server.helper.cfunc.del_orphan_cmts,1,1,1,System Command Execution
Python::headless_ida_mcp_server.helper.cfunc.has_orphan_cmts,Python,headless_ida_mcp_server.helper.cfunc.has_orphan_cmts,1,1,1,System Command Execution
Python::headless_ida_mcp_server.helper.get_function,Python,headless_ida_mcp_server.helper.get_function,2,1,2,System Command Execution
Python::headless_ida_mcp_server.helper.set_user_cmt,Python,headless_ida_mcp_server.helper.set_user_cmt,1,1,1,System Command Execution
Python::host_obj.get_connection,Python,host_obj.get_connection,5,1,5,Database Management
Python::httpx.AsyncClient,Python,httpx.AsyncClient,15,5,15,Specialized Domain Data Services
Python::httpx.Client,Python,httpx.Client,1,1,1,Specialized Domain Data Services
Python::httpx.Client.get,Python,httpx.Client.get,2,2,2,Specialized Domain Data Services
Python::httpx.Client.post,Python,httpx.Client.post,13,3,13,Specialized Domain Data Services
Python::httpx.Client.put,Python,httpx.Client.put,10,1,10,Specialized Domain Data Services
Python::httpx.delete,Python,httpx.delete,10,1,10,Specialized Domain Data Services
Python::httpx.get,Python,httpx.get,10,1,10,Specialized Domain Data Services
Python::httpx.put,Python,httpx.put,1,1,1,Specialized Domain Data Services
Python::ida_ida.get_entry_ordinal,Python,ida_ida.get_entry_ordinal,1,1,1,System Command Execution
Python::ida_ida.get_entry_qty,Python,ida_ida.get_entry_qty,1,1,1,System Command Execution
Python::idaapi.treeloc_t,Python,idaapi.treeloc_t,1,1,1,System Command Execution
Python::idc.get_strlit_contents,Python,idc.get_strlit_contents,1,1,1,System Command Execution
Python::idc.set_func_cmt,Python,idc.set_func_cmt,1,1,1,System Command Execution
Python::imagesorcery_mcp.config.config_manager.get_runtime_overrides,Python,imagesorcery_mcp.config.config_manager.get_runtime_overrides,1,1,1,File System Operations
Python::imagesorcery_mcp.config.config_manager.reset_runtime_overrides,Python,imagesorcery_mcp.config.config_manager.reset_runtime_overrides,1,1,1,Specialized Domain Data Services
Python::imagesorcery_mcp.config.config_manager.update_config,Python,imagesorcery_mcp.config.config_manager.update_config,1,1,1,File System Operations
Python::importlib.import_module,Python,importlib.import_module,7,4,7,System Command Execution
Python::init,Python,init,4,1,4,System Command Execution
Python::initialize_autocad_lisp,Python,initialize_autocad_lisp,1,1,1,System Command Execution
Python::inspect,Python,inspect,4,3,4,Database Management; System Command Execution
Python::integrations.applescript_bridge.AppleScriptBridge.check_powerpoint_status,Python,integrations.applescript_bridge.AppleScriptBridge.check_powerpoint_status,1,1,1,System Command Execution
Python::iocextract.extract_emails,Python,iocextract.extract_emails,1,1,1,System Command Execution
Python::iris.classMethodString,Python,iris.classMethodString,1,1,1,System Command Execution
Python::is_closed,Python,is_closed,1,1,1,Browser Automation and Web Interaction
Python::is_modified,Python,is_modified,1,1,1,System Command Execution
Python::jmespath.compile,Python,jmespath.compile,1,1,1,Specialized Domain Data Services
Python::joinly.session.MeetingSession.join_meeting,Python,joinly.session.MeetingSession.join_meeting,1,1,1,System Command Execution
Python::jupyter_kernel_client.KernelClient,Python,jupyter_kernel_client.KernelClient,1,1,1,System Command Execution
Python::jupyter_kernel_client.KernelClient.start,Python,jupyter_kernel_client.KernelClient.start,1,1,1,System Command Execution
Python::jupyter_nbmodel_client.NbModelClient.execute_cell,Python,jupyter_nbmodel_client.NbModelClient.execute_cell,1,1,1,System Command Execution
Python::jupyter_server_api.JupyterServerClient,Python,jupyter_server_api.JupyterServerClient,1,1,1,System Command Execution
Python::jupyter_server_api.JupyterServerClient.contents.create_notebook,Python,jupyter_server_api.JupyterServerClient.contents.create_notebook,1,1,1,File System Operations
Python::jupyter_server_api.JupyterServerClient.contents.list_directory,Python,jupyter_server_api.JupyterServerClient.contents.list_directory,1,1,1,File System Operations
Python::k8s_mcp_server.tools.execute_command,Python,k8s_mcp_server.tools.execute_command,4,1,4,System Command Execution
Python::kafka.admin.KafkaAdminClient.create_topics,Python,kafka.admin.KafkaAdminClient.create_topics,1,1,1,Cloud Infrastructure Management
Python::kafka.admin.NewTopic,Python,kafka.admin.NewTopic,1,1,1,Cloud Infrastructure Management
Python::kernel.stop,Python,kernel.stop,1,1,1,System Command Execution
Python::keyDown,Python,keyDown,1,1,1,System Command Execution
Python::keyUp,Python,keyUp,1,1,1,System Command Execution
Python::keyboard.press_and_release,Python,keyboard.press_and_release,52,2,52,Specialized Domain Data Services
Python::keyboard.write,Python,keyboard.write,82,2,82,System Command Execution
Python::kiteconnect.KiteConnect.generate_session,Python,kiteconnect.KiteConnect.generate_session,1,1,1,Financial and Blockchain Services
Python::langchain_aws.BedrockEmbeddings,Python,langchain_aws.BedrockEmbeddings,1,1,1,AI and Machine Learning Services
Python::leanclient.LeanLSPClient.get_diagnostics,Python,leanclient.LeanLSPClient.get_diagnostics,1,1,1,System Command Execution
Python::leanclient.LeanLSPClient.update_file,Python,leanclient.LeanLSPClient.update_file,1,1,1,System Command Execution
Python::library.sections,Python,library.sections,1,1,1,File System Operations
Python::list_controls,Python,list_controls,1,1,1,System Command Execution
Python::locateOnScreen,Python,locateOnScreen,1,1,1,System Command Execution
Python::locator,Python,locator,2,1,2,Browser Automation and Web Interaction
Python::log_normal_variate,Python,log_normal_variate,1,1,1,File System Operations
Python::magicapi_tools.domain.dtos.backup_dtos.BackupOperationRequest,Python,magicapi_tools.domain.dtos.backup_dtos.BackupOperationRequest,1,1,1,Cloud Infrastructure Management
Python::magicapi_tools.ws.IDEEnvironment.ensure_running_sync,Python,magicapi_tools.ws.IDEEnvironment.ensure_running_sync,1,1,1,Specialized Domain Data Services
Python::margins,Python,margins,1,1,1,Financial and Blockchain Services
Python::mavutil.mavconnection.close,Python,mavutil.mavconnection.close,1,1,1,File System Operations
Python::maxmsp.send_command,Python,maxmsp.send_command,3,1,3,System Command Execution
Python::maxmsp.send_request,Python,maxmsp.send_request,1,1,1,Project Management Services
