cache_entry_id,language,api_name,category,deepseek_refs,qwen_refs,deepseek_permissions,qwen_permissions
Python::MediaIoBaseDownload,Python,MediaIoBaseDownload,File System Operations,2,2,File System Operations,File System Operations
Python::MetadataDbClient,Python,MetadataDbClient,Database Management,1,1,Database Management,Database Management
Python::Notify,Python,Notify,File System Operations,1,1,File System Operations,File System Operations
Python::ONVIFCamera,Python,ONVIFCamera,Cloud Infrastructure Management,4,1,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::Options,Python,Options,Browser Automation and Web Interaction,1,2,Browser Automation and Web Interaction,Browser Automation and Web Interaction
Python::ParadexApiClient.init_account,Python,ParadexApiClient.init_account,Specialized Domain Data Services,16,4,Specialized Domain Data Services,Specialized Domain Data Services
Python::PlexServer,Python,PlexServer,Cloud Infrastructure Management,5,13,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::Plotter,Python,Plotter,File System Operations,1,1,File System Operations,File System Operations
Python::PromptGuard,Python,PromptGuard,AI and Machine Learning Services,9,25,AI and Machine Learning Services,AI and Machine Learning Services
Python::RaspberryPiAdapter.connect,Python,RaspberryPiAdapter.connect,System Command Execution,1,1,System Command Execution,System Command Execution
Python::RedshiftTable,Python,RedshiftTable,Database Management,1,1,Database Management,Database Management
Python::Repo,Python,Repo,File System Operations,7,3,File System Operations,File System Operations
Python::Repo.clone_from,Python,Repo.clone_from,Specialized Domain Data Services,5,2,Specialized Domain Data Services,Specialized Domain Data Services
Python::Runtime.evaluate,Python,Runtime.evaluate,Browser Automation and Web Interaction,1,2,Browser Automation and Web Interaction,Browser Automation and Web Interaction
Python::SafeSqlDriver.execute_param_query,Python,SafeSqlDriver.execute_param_query,Cloud Infrastructure Management,1,3,Database Management,Cloud Infrastructure Management
Python::Service,Python,Service,Browser Automation and Web Interaction,1,1,Browser Automation and Web Interaction,Browser Automation and Web Interaction
Python::Sherlock,Python,Sherlock,System Command Execution,9,9,System Command Execution,System Command Execution
Python::SqlDriver.execute_query,Python,SqlDriver.execute_query,Project Management Services,1,1,Database Management,Project Management Services
Python::StudentDatabaseModule.db.execute_query,Python,StudentDatabaseModule.db.execute_query,Database Management,1,1,Database Management,Database Management
Python::URBasic.robotConnector.RTDE.isRunning,Python,URBasic.robotConnector.RTDE.isRunning,System Command Execution,1,4,System Command Execution,System Command Execution
Python::URBasic.ur_get_robot_model,Python,URBasic.ur_get_robot_model,System Command Execution,1,1,System Command Execution,System Command Execution
Python::Vmm,Python,Vmm,System Command Execution,5,5,System Command Execution,System Command Execution
Python::ZipFile,Python,ZipFile,File System Operations,1,1,File System Operations,File System Operations
Python::_Registry,Python,_Registry,System Command Execution,1,1,System Command Execution,System Command Execution
Python::_disconnect,Python,_disconnect,System Command Execution,4,5,System Command Execution,System Command Execution
Python::_ensure_playwright_ready,Python,_ensure_playwright_ready,Browser Automation and Web Interaction,2,2,Browser Automation and Web Interaction,Browser Automation and Web Interaction
Python::_execute_statement,Python,_execute_statement,Database Management,4,5,Database Management,Database Management
Python::_handle_update_record_tool,Python,_handle_update_record_tool,System Command Execution,1,1,System Command Execution,System Command Execution
Python::_openrouter_chat,Python,_openrouter_chat,Database Management,1,1,Database Management,Database Management
Python::_qgis_connection.disconnect,Python,_qgis_connection.disconnect,System Command Execution,9,13,System Command Execution,System Command Execution
Python::_run_command,Python,_run_command,System Command Execution,7,5,System Command Execution,System Command Execution
Python::ableton.send_command,Python,ableton.send_command,System Command Execution,2,2,System Command Execution,System Command Execution
Python::account.users(),Python,account.users(),Cloud Infrastructure Management,1,4,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::acreate,Python,acreate,Database Management,1,1,Database Management,Database Management
Python::add_argument,Python,add_argument,System Command Execution,2,2,System Command Execution,System Command Execution
Python::add_or_update_email,Python,add_or_update_email,Database Management,1,1,Database Management,Database Management
Python::agent.run,Python,agent.run,Browser Automation and Web Interaction,1,1,Browser Automation and Web Interaction,Browser Automation and Web Interaction
Python::ainvoke,Python,ainvoke,Specialized Domain Data Services,2,1,Specialized Domain Data Services,Specialized Domain Data Services
Python::aiohttp.ClientSession,Python,aiohttp.ClientSession,Specialized Domain Data Services,2,1,Specialized Domain Data Services,Specialized Domain Data Services
Python::alpaca.trading.client.TradingClient,Python,alpaca.trading.client.TradingClient,Financial and Blockchain Services,32,2,Financial Trading Services,Financial and Blockchain Services
Python::alphaess.alphaess.close,Python,alphaess.alphaess.close,Project Management Services,2,1,Project Management Services,Project Management Services
Python::amazon.client.Amazon.buy_now,Python,amazon.client.Amazon.buy_now,Financial and Blockchain Services,1,1,Financial and Blockchain Services,Financial and Blockchain Services
Python::amazon.client.Amazon.buy_now_with_x402,Python,amazon.client.Amazon.buy_now_with_x402,Financial and Blockchain Services,1,1,Financial and Blockchain Services,Financial and Blockchain Services
Python::amp,Python,amp,Cloud Infrastructure Management,1,3,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::analyze_position,Python,analyze_position,System Command Execution,1,1,System Command Execution,System Command Execution
Python::anyio.to_thread.run_sync,Python,anyio.to_thread.run_sync,System Command Execution,1,1,System Command Execution,System Command Execution
Python::app.adapters.raspberrypi_adapter.RaspberryPiAdapter,Python,app.adapters.raspberrypi_adapter.RaspberryPiAdapter,System Command Execution,1,1,System Command Execution,System Command Execution
Python::app.adapters.raspberrypi_adapter.RaspberryPiAdapter.execute_command,Python,app.adapters.raspberrypi_adapter.RaspberryPiAdapter.execute_command,System Command Execution,1,1,System Command Execution,System Command Execution
Python::app.shared.utils.http_client.get,Python,app.shared.utils.http_client.get,Specialized Domain Data Services,2,1,Specialized Domain Data Services,Specialized Domain Data Services
Python::app.shared.utils.http_client.post,Python,app.shared.utils.http_client.post,Specialized Domain Data Services,2,1,Specialized Domain Data Services,Specialized Domain Data Services
Python::app.shared.utils.tool_helper_service.execute_get_request,Python,app.shared.utils.tool_helper_service.execute_get_request,Specialized Domain Data Services,1,1,Specialized Domain Data Services,Specialized Domain Data Services
Python::app.tools.raspberrypi_tool.RaspberryPiTool,Python,app.tools.raspberrypi_tool.RaspberryPiTool,System Command Execution,1,1,System Command Execution,System Command Execution
Python::applescript.run,Python,applescript.run,Browser Automation and Web Interaction,3,3,Browser Automation and Web Interaction,Browser Automation and Web Interaction
Python::asyncio.create_subprocess_exec,Python,asyncio.create_subprocess_exec,System Command Execution,25,28,System Command Execution,System Command Execution
Python::asyncio.create_subprocess_shell,Python,asyncio.create_subprocess_shell,System Command Execution,10,6,System Command Execution,System Command Execution
Python::asyncio.subprocess.Process.communicate,Python,asyncio.subprocess.Process.communicate,System Command Execution,4,5,System Command Execution,System Command Execution
Python::attributes,Python,attributes,System Command Execution,5,6,System Command Execution,System Command Execution
Python::auto_fix_issue,Python,auto_fix_issue,System Command Execution,1,1,System Command Execution,System Command Execution
Python::awslabs.amazon_neptune_mcp_server.graph_store.<unknown>,Python,awslabs.amazon_neptune_mcp_server.graph_store.<unknown>,Cloud Infrastructure Management,2,1,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::awslabs.aws_bedrock_data_automation_mcp_server.helpers.invoke_data_automation_and_get_results,Python,awslabs.aws_bedrock_data_automation_mcp_server.helpers.invoke_data_automation_and_get_results,Cloud Infrastructure Management,1,1,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::awslabs.aws_diagram_mcp_server.scanner.scan_python_code,Python,awslabs.aws_diagram_mcp_server.scanner.scan_python_code,System Command Execution,2,2,System Command Execution,System Command Execution
Python::awslabs.ccapi_mcp_server.aws_client.get_aws_client,Python,awslabs.ccapi_mcp_server.aws_client.get_aws_client,Cloud Infrastructure Management,1,1,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::awslabs.ccapi_mcp_server.impl.tools.explanation.explain_impl,Python,awslabs.ccapi_mcp_server.impl.tools.explanation.explain_impl,Cloud Infrastructure Management,2,1,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::awslabs.ccapi_mcp_server.models.models.ExplainRequest,Python,awslabs.ccapi_mcp_server.models.models.ExplainRequest,Cloud Infrastructure Management,2,1,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::awslabs.code_doc_gen_mcp_server.utils.doc_generator.create_documentation_context,Python,awslabs.code_doc_gen_mcp_server.utils.doc_generator.create_documentation_context,System Command Execution,1,1,System Command Execution,System Command Execution
Python::awslabs.code_doc_gen_mcp_server.utils.repomix_manager.RepomixManager,Python,awslabs.code_doc_gen_mcp_server.utils.repomix_manager.RepomixManager,System Command Execution,2,2,System Command Execution,System Command Execution
Python::awslabs.git_repo_research_mcp_server.embeddings.get_embedding_model,Python,awslabs.git_repo_research_mcp_server.embeddings.get_embedding_model,AI and Machine Learning Services,1,4,AI and Machine Learning Services,AI and Machine Learning Services
Python::awslabs.git_repo_research_mcp_server.indexer.RepositorySearcher,Python,awslabs.git_repo_research_mcp_server.indexer.RepositorySearcher,Database Management,2,2,Database Management,Database Management
Python::awslabs.git_repo_research_mcp_server.indexer.get_repository_indexer,Python,awslabs.git_repo_research_mcp_server.indexer.get_repository_indexer,Project Management Services,1,2,Project Management Services,Project Management Services
Python::awslabs.git_repo_research_mcp_server.indexer.index_repository,Python,awslabs.git_repo_research_mcp_server.indexer.index_repository,File System Operations,1,2,File System Operations,File System Operations
Python::awslabs.git_repo_research_mcp_server.indexer.similarity_search,Python,awslabs.git_repo_research_mcp_server.indexer.similarity_search,Database Management,1,1,Database Management,Database Management
Python::awslabs.git_repo_research_mcp_server.indexer.similarity_search_with_score,Python,awslabs.git_repo_research_mcp_server.indexer.similarity_search_with_score,Database Management,2,2,Database Management,Database Management
Python::awslabs.git_repo_research_mcp_server.repository.RepositoryIndexer,Python,awslabs.git_repo_research_mcp_server.repository.RepositoryIndexer,Database Management,2,4,Database Management,Database Management
Python::awslabs.git_repo_research_mcp_server.repository.repo_processor.get_commit_id,Python,awslabs.git_repo_research_mcp_server.repository.repo_processor.get_commit_id,Project Management Services,1,1,Project Management Services,Project Management Services
Python::awslabs.prometheus_mcp_server.configure_workspace_for_request,Python,awslabs.prometheus_mcp_server.configure_workspace_for_request,Cloud Infrastructure Management,1,3,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::awslabs.prometheus_mcp_server.consts.get_prometheus_client,Python,awslabs.prometheus_mcp_server.consts.get_prometheus_client,Cloud Infrastructure Management,1,3,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::awslabs.redshift_mcp_server.models.RedshiftSchema,Python,awslabs.redshift_mcp_server.models.RedshiftSchema,Database Management,1,1,Database Management,Database Management
Python::awslabs.redshift_mcp_server.redshift.discover_columns,Python,awslabs.redshift_mcp_server.redshift.discover_columns,Database Management,1,1,Database Management,Database Management
Python::awslabs.redshift_mcp_server.redshift.discover_databases,Python,awslabs.redshift_mcp_server.redshift.discover_databases,Database Management,1,1,Database Management,Database Management
Python::awslabs.redshift_mcp_server.redshift.discover_schemas,Python,awslabs.redshift_mcp_server.redshift.discover_schemas,Database Management,1,1,Database Management,Database Management
Python::awslabs.redshift_mcp_server.session_manager.session,Python,awslabs.redshift_mcp_server.session_manager.session,Database Management,4,5,Database Management,Database Management
Python::azure.ai.projects.AIProjectClient.agents.create_agent,Python,azure.ai.projects.AIProjectClient.agents.create_agent,Specialized Domain Data Services,1,1,Specialized Domain Data Services,Specialized Domain Data Services
Python::azure.ai.projects.models.AzureAISearchTool,Python,azure.ai.projects.models.AzureAISearchTool,Specialized Domain Data Services,1,1,Specialized Domain Data Services,Specialized Domain Data Services
Python::azure.ai.projects.models.BingGroundingTool,Python,azure.ai.projects.models.BingGroundingTool,Cloud Infrastructure Management,1,2,AI and Machine Learning Services,Cloud Infrastructure Management
Python::azure.ai.projects.models.MessageRole,Python,azure.ai.projects.models.MessageRole,Cloud Infrastructure Management,1,1,AI and Machine Learning Services,Cloud Infrastructure Management
Python::azure.mgmt.apimanagement.ApiManagementClient.authorization.get,Python,azure.mgmt.apimanagement.ApiManagementClient.authorization.get,Cloud Infrastructure Management,3,2,Identity and Access Management,Cloud Infrastructure Management
Python::azure.mgmt.apimanagement.ApiManagementClient.authorization_access_policy.create_or_update,Python,azure.mgmt.apimanagement.ApiManagementClient.authorization_access_policy.create_or_update,Cloud Infrastructure Management,4,3,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::azure.mgmt.apimanagement.ApiManagementClient.authorization_provider.get,Python,azure.mgmt.apimanagement.ApiManagementClient.authorization_provider.get,Cloud Infrastructure Management,4,3,Identity and Access Management,Cloud Infrastructure Management
Python::azure.mgmt.apimanagement.models.AuthorizationAccessPolicyContract,Python,azure.mgmt.apimanagement.models.AuthorizationAccessPolicyContract,Cloud Infrastructure Management,4,3,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::begin,Python,begin,Financial and Blockchain Services,1,1,Financial and Blockchain Services,Financial and Blockchain Services
Python::bioos.webinstanceapp,Python,bioos.webinstanceapp,Cloud Infrastructure Management,1,1,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::blender.send_command,Python,blender.send_command,System Command Execution,26,28,System Command Execution,System Command Execution
Python::boto3.Session,Python,boto3.Session,Cloud Infrastructure Management,7,8,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::boto3.Session.client,Python,boto3.Session.client,Cloud Infrastructure Management,3,4,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::boto3.client,Python,boto3.client,Cloud Infrastructure Management,9,8,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::boto3.client.get_data_automation_status,Python,boto3.client.get_data_automation_status,Cloud Infrastructure Management,1,1,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::boto3.client.invoke_data_automation_async,Python,boto3.client.invoke_data_automation_async,Cloud Infrastructure Management,1,1,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::boto3.client.search_text,Python,boto3.client.search_text,Cloud Infrastructure Management,1,1,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::boto3.download_from_s3,Python,boto3.download_from_s3,Cloud Infrastructure Management,1,1,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::boto3.get_account_id,Python,boto3.get_account_id,Cloud Infrastructure Management,1,1,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::boto3.get_profile_arn,Python,boto3.get_profile_arn,Cloud Infrastructure Management,1,1,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::boto3.s3.upload_file,Python,boto3.s3.upload_file,Cloud Infrastructure Management,2,2,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::boto3.upload_to_s3,Python,boto3.upload_to_s3,Cloud Infrastructure Management,1,1,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::botocore.config.Config,Python,botocore.config.Config,Cloud Infrastructure Management,11,10,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::browser_use.Agent,Python,browser_use.Agent,Browser Automation and Web Interaction,3,5,Browser Automation and Web Interaction,Browser Automation and Web Interaction
Python::browser_use.Agent.run,Python,browser_use.Agent.run,Browser Automation and Web Interaction,2,4,Browser Automation and Web Interaction,Browser Automation and Web Interaction
Python::browser_use.Browser.close,Python,browser_use.Browser.close,Browser Automation and Web Interaction,2,4,Browser Automation and Web Interaction,Browser Automation and Web Interaction
Python::builtins.eval,Python,builtins.eval,System Command Execution,23,23,System Command Execution,System Command Execution
Python::builtins.exec,Python,builtins.exec,System Command Execution,4,4,System Command Execution,System Command Execution
Python::builtins.open,Python,builtins.open,File System Operations,4,203,File System Operations,File System Operations
Python::bulk_operations_wizard.BulkOperationsWizard.start_wizard,Python,bulk_operations_wizard.BulkOperationsWizard.start_wizard,System Command Execution,4,3,System Command Execution,System Command Execution
Python::business_request.database.DatabaseConnection.execute_query,Python,business_request.database.DatabaseConnection.execute_query,Database Management,3,2,Database Management,Database Management
Python::c4d_connection_context,Python,c4d_connection_context,System Command Execution,9,18,System Command Execution,System Command Execution
Python::check_syntax,Python,check_syntax,System Command Execution,1,1,System Command Execution,System Command Execution
Python::checkout,Python,checkout,System Command Execution,14,12,System Command Execution,System Command Execution
Python::child_window,Python,child_window,System Command Execution,1,1,System Command Execution,System Command Execution
Python::chromadb.Collection.add,Python,chromadb.Collection.add,Database Management,3,1,Database Management,Database Management
Python::chromadb.Collection.get,Python,chromadb.Collection.get,Database Management,3,1,Database Management,Database Management
Python::chromadb.api.collection.Collection.count,Python,chromadb.api.collection.Collection.count,Database Management,3,1,Database Management,Database Management
Python::classMethodBoolean,Python,classMethodBoolean,Database Management,1,1,Database Management,Database Management
Python::cleanup_repository,Python,cleanup_repository,File System Operations,1,1,File System Operations,File System Operations
Python::click_input,Python,click_input,System Command Execution,1,1,System Command Execution,System Command Execution
Python::clickhouse_connect,Python,clickhouse_connect,Database Management,2,2,Database Management,Database Management
Python::clickhouse_connect.client.command,Python,clickhouse_connect.client.command,Specialized Domain Data Services,1,1,Specialized Domain Data Services,Specialized Domain Data Services
Python::clickhouse_connect.driver.client.command,Python,clickhouse_connect.driver.client.command,Database Management,1,1,Database Management,Database Management
Python::clickhouse_connect.get_client,Python,clickhouse_connect.get_client,Database Management,2,2,Database Management,Database Management
Python::client.download_batch_results,Python,client.download_batch_results,Specialized Domain Data Services,1,1,Specialized Domain Data Services,Specialized Domain Data Services
Python::client.modules.exploits,Python,client.modules.exploits,System Command Execution,1,1,System Command Execution,System Command Execution
Python::client.query,Python,client.query,Specialized Domain Data Services,2,2,Database Management,Database Management
Python::clone_from,Python,clone_from,File System Operations,7,3,File System Operations,File System Operations
Python::close_connection,Python,close_connection,Specialized Domain Data Services,6,9,Specialized Domain Data Services,Specialized Domain Data Services
Python::close_connections,Python,close_connections,Cloud Infrastructure Management,11,17,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::cmd.ray,Python,cmd.ray,System Command Execution,1,1,System Command Execution,System Command Execution
Python::cmd.viewport,Python,cmd.viewport,System Command Execution,1,1,System Command Execution,System Command Execution
Python::config.detect_xlm_macros,Python,config.detect_xlm_macros,System Command Execution,1,1,System Command Execution,System Command Execution
Python::config.load_ssh_config,Python,config.load_ssh_config,System Command Execution,2,1,System Command Execution,System Command Execution
Python::conn.close,Python,conn.close,System Command Execution,9,19,Database Management,System Command Execution
Python::conn.rollback,Python,conn.rollback,Database Management,1,1,Database Management,Database Management
Python::convert,Python,convert,System Command Execution,5,4,System Command Execution,System Command Execution
Python::crawl4ai.arun,Python,crawl4ai.arun,File System Operations,1,1,File System Operations,File System Operations
Python::create_and_process_run,Python,create_and_process_run,AI and Machine Learning Services,3,4,AI and Machine Learning Services,AI and Machine Learning Services
Python::create_connection,Python,create_connection,System Command Execution,1,1,System Command Execution,System Command Execution
Python::create_memory,Python,create_memory,System Command Execution,5,6,System Command Execution,System Command Execution
Python::create_message,Python,create_message,AI and Machine Learning Services,3,4,AI and Machine Learning Services,AI and Machine Learning Services
Python::create_pool,Python,create_pool,Database Management,3,2,Database Management,Database Management
Python::create_ptz_service,Python,create_ptz_service,Cloud Infrastructure Management,4,1,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::create_session,Python,create_session,Browser Automation and Web Interaction,1,1,Browser Automation and Web Interaction,Browser Automation and Web Interaction
Python::create_thread,Python,create_thread,AI and Machine Learning Services,3,4,AI and Machine Learning Services,AI and Machine Learning Services
Python::cursor.execute,Python,cursor.execute,Database Management,8,5,Database Management,Database Management
Python::cursor.fetchall,Python,cursor.fetchall,Database Management,6,3,Database Management,Database Management
Python::cursor.fetchone,Python,cursor.fetchone,Database Management,3,2,Database Management,Database Management
Python::cv2.imread,Python,cv2.imread,File System Operations,1,1,File System Operations,File System Operations
Python::cv2.imwrite,Python,cv2.imwrite,File System Operations,4,4,File System Operations,File System Operations
Python::dataset.async_parse_documents,Python,dataset.async_parse_documents,Specialized Domain Data Services,1,1,Specialized Domain Data Services,Specialized Domain Data Services
Python::db.MCPDatabase.create,Python,db.MCPDatabase.create,System Command Execution,1,1,System Command Execution,System Command Execution
Python::db.MCPDatabase.search,Python,db.MCPDatabase.search,System Command Execution,1,1,System Command Execution,System Command Execution
Python::db_client.execute,Python,db_client.execute,Database Management,1,3,Database Management,Database Management
Python::describe_workspace,Python,describe_workspace,Cloud Infrastructure Management,1,3,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::device.DeviceManager.connect,Python,device.DeviceManager.connect,System Command Execution,2,2,System Command Execution,System Command Execution
Python::device.DeviceManager.get_device,Python,device.DeviceManager.get_device,System Command Execution,25,40,System Command Execution,System Command Execution
Python::device.DeviceManager.get_device.get_package_version_name,Python,device.DeviceManager.get_device.get_package_version_name,System Command Execution,1,2,System Command Execution,System Command Execution
Python::device.DeviceManager.get_device.get_top_activities,Python,device.DeviceManager.get_device.get_top_activities,System Command Execution,1,1,System Command Execution,System Command Execution
Python::device.DeviceManager.get_device.wm_density,Python,device.DeviceManager.get_device.wm_density,System Command Execution,1,2,System Command Execution,System Command Execution
Python::dihedral,Python,dihedral,System Command Execution,1,1,System Command Execution,System Command Execution
Python::diskcache.Cache,Python,diskcache.Cache,Database Management,8,2,File System Operations,Database Management
Python::dispose,Python,dispose,Database Management,4,1,Database Management,Database Management
Python::download_from_s3,Python,download_from_s3,Cloud Infrastructure Management,1,1,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::driver.get,Python,driver.get,Browser Automation and Web Interaction,1,2,Browser Automation and Web Interaction,Browser Automation and Web Interaction
Python::drop_rel,Python,drop_rel,Cloud Infrastructure Management,1,1,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::dvr_script.GetCurrentTimeline,Python,dvr_script.GetCurrentTimeline,File System Operations,1,1,File System Operations,File System Operations
Python::ebook_mcp.tools.pdf_helper.extract_page_text,Python,ebook_mcp.tools.pdf_helper.extract_page_text,System Command Execution,1,1,System Command Execution,System Command Execution
Python::encrypt,Python,encrypt,File System Operations,1,1,File System Operations,File System Operations
Python::eprint,Python,eprint,System Command Execution,1,1,System Command Execution,System Command Execution
Python::eval,Python,eval,System Command Execution,12,12,System Command Execution,System Command Execution
Python::eval_code,Python,eval_code,System Command Execution,3,3,System Command Execution,System Command Execution
Python::evaluate,Python,evaluate,System Command Execution,1,1,Browser Automation and Web Interaction,System Command Execution
Python::exec_command,Python,exec_command,System Command Execution,2,1,System Command Execution,System Command Execution
Python::execute_audit_api,Python,execute_audit_api,Cloud Infrastructure Management,4,3,Cloud Infrastructure Management,Cloud Infrastructure Management
Python::execute_news_task,Python,execute_news_task,Project Management Services,1,1,Project Management Services,Project Management Services
Python::executor,Python,executor,Project Management Services,1,1,Project Management Services,Project Management Services
Python::expect_navigation,Python,expect_navigation,Browser Automation and Web Interaction,1,1,Browser Automation and Web Interaction,Browser Automation and Web Interaction
Python::explain_tool.explain_with_hypothetical_indexes,Python,explain_tool.explain_with_hypothetical_indexes,Database Management,1,1,Database Management,Database Management
Python::exponential_variate,Python,exponential_variate,System Command Execution,1,1,System Command Execution,System Command Execution
Python::export,Python,export,System Command Execution,3,4,Database Management; System Command Execution,Database Management; System Command Execution
Python::export_chat_invite_link,Python,export_chat_invite_link,Project Management Services,1,1,Project Management Services,Project Management Services
Python::export_html,Python,export_html,File System Operations,1,1,File System Operations,File System Operations
Python::export_tools.export_global_tool,Python,export_tools.export_global_tool,System Command Execution,1,1,System Command Execution,System Command Execution
Python::facets_mcp.utils.ftf_command_utils.run_ftf_command,Python,facets_mcp.utils.ftf_command_utils.run_ftf_command,System Command Execution,2,3,System Command Execution,System Command Execution
Python::fastmcp.Context,Python,fastmcp.Context,System Command Execution,7,6,System Command Execution,System Command Execution
Python::fastmcp.FastMCP.tools.values,Python,fastmcp.FastMCP.tools.values,System Command Execution,2,2,System Command Execution,System Command Execution
Python::fastmcp.add_event,Python,fastmcp.add_event,Database Management,1,1,Database Management,Database Management
Python::fastmcp.run_obdiag_command,Python,fastmcp.run_obdiag_command,System Command Execution,2,1,System Command Execution,System Command Execution
Python::feature_manager.execute_tool,Python,feature_manager.execute_tool,System Command Execution,1,1,System Command Execution,System Command Execution
Python::find_and_index_tools,Python,find_and_index_tools,System Command Execution,2,2,System Command Execution,System Command Execution
