cache_entry_id,language,api_name,hidden_api_cache_entry_refs,unique_project_cache_entry_pairs,unique_project_tool_cache_entry_triples,permissions
Python::awslabs.prometheus_mcp_server.configure_workspace_for_request,Python,awslabs.prometheus_mcp_server.configure_workspace_for_request,3,1,3,Cloud Infrastructure Management
Python::awslabs.prometheus_mcp_server.consts.get_prometheus_client,Python,awslabs.prometheus_mcp_server.consts.get_prometheus_client,3,1,3,Cloud Infrastructure Management
Python::awslabs.redshift_mcp_server.models.RedshiftSchema,Python,awslabs.redshift_mcp_server.models.RedshiftSchema,1,1,1,Database Management
Python::awslabs.redshift_mcp_server.redshift.discover_columns,Python,awslabs.redshift_mcp_server.redshift.discover_columns,1,1,1,Database Management
Python::awslabs.redshift_mcp_server.redshift.discover_databases,Python,awslabs.redshift_mcp_server.redshift.discover_databases,1,1,1,Database Management
Python::awslabs.redshift_mcp_server.redshift.discover_schemas,Python,awslabs.redshift_mcp_server.redshift.discover_schemas,1,1,1,Database Management
Python::awslabs.redshift_mcp_server.redshift.execute_query,Python,awslabs.redshift_mcp_server.redshift.execute_query,1,1,1,Database Management
Python::awslabs.redshift_mcp_server.session_manager.session,Python,awslabs.redshift_mcp_server.session_manager.session,5,1,5,Database Management
Python::awslabs.s3_tables_mcp_server._default_uri_for_region,Python,awslabs.s3_tables_mcp_server._default_uri_for_region,1,1,1,Cloud Infrastructure Management
Python::awslabs.terraform_mcp_server.impl.tools.run_checkov_scan_impl,Python,awslabs.terraform_mcp_server.impl.tools.run_checkov_scan_impl,2,2,2,System Command Execution
Python::awslabs.valkey_mcp_server.common.connection.ValkeyConnectionManager.get_connection,Python,awslabs.valkey_mcp_server.common.connection.ValkeyConnectionManager.get_connection,3,1,3,Database Management
Python::azure.ai.projects.AIProjectClient.agents.create_agent,Python,azure.ai.projects.AIProjectClient.agents.create_agent,1,1,1,Specialized Domain Data Services
Python::azure.ai.projects.models.AzureAISearchTool,Python,azure.ai.projects.models.AzureAISearchTool,1,1,1,Specialized Domain Data Services
Python::azure.ai.projects.models.BingGroundingTool,Python,azure.ai.projects.models.BingGroundingTool,2,2,2,Cloud Infrastructure Management
Python::azure.ai.projects.models.MessageRole,Python,azure.ai.projects.models.MessageRole,1,1,1,Cloud Infrastructure Management
Python::azure.devops.connection.Connection.clients.get_search_client,Python,azure.devops.connection.Connection.clients.get_search_client,1,1,1,Cloud Infrastructure Management
Python::azure.kusto.data.ClientRequestProperties,Python,azure.kusto.data.ClientRequestProperties,5,1,5,System Command Execution
Python::azure.kusto.data.KustoClient,Python,azure.kusto.data.KustoClient,4,3,4,Database Management
Python::azure.kusto.data.KustoClient.execute,Python,azure.kusto.data.KustoClient.execute,1,1,1,Database Management
Python::azure.kusto.data.KustoClient.execute_query,Python,azure.kusto.data.KustoClient.execute_query,2,1,2,Database Management
Python::azure.mgmt.apimanagement.ApiManagementClient.authorization.get,Python,azure.mgmt.apimanagement.ApiManagementClient.authorization.get,2,2,2,Cloud Infrastructure Management
Python::azure.mgmt.apimanagement.ApiManagementClient.authorization_access_policy.create_or_update,Python,azure.mgmt.apimanagement.ApiManagementClient.authorization_access_policy.create_or_update,3,3,3,Cloud Infrastructure Management
Python::azure.mgmt.apimanagement.ApiManagementClient.authorization_provider.get,Python,azure.mgmt.apimanagement.ApiManagementClient.authorization_provider.get,3,3,3,Cloud Infrastructure Management
Python::azure.mgmt.apimanagement.models.AuthorizationAccessPolicyContract,Python,azure.mgmt.apimanagement.models.AuthorizationAccessPolicyContract,3,3,3,Cloud Infrastructure Management
Python::batch.get_proposal_by_id,Python,batch.get_proposal_by_id,1,1,1,File System Operations
Python::begin,Python,begin,1,1,1,Financial and Blockchain Services
Python::bilibili_api.search.search_by_type,Python,bilibili_api.search.search_by_type,1,1,1,File System Operations
Python::binaryninja_mcp.resources.MCPResource,Python,binaryninja_mcp.resources.MCPResource,1,1,1,AI and Machine Learning Services
Python::binaryninja_mcp.tools.MCPTools,Python,binaryninja_mcp.tools.MCPTools,1,1,1,AI and Machine Learning Services
Python::binaryninja_mcp.tools.MCPTools.disassembly,Python,binaryninja_mcp.tools.MCPTools.disassembly,1,1,1,System Command Execution
Python::binaryninja_mcp.tools.medium_level_il,Python,binaryninja_mcp.tools.medium_level_il,1,1,1,System Command Execution
Python::bioos.webinstanceapp,Python,bioos.webinstanceapp,1,1,1,Cloud Infrastructure Management
Python::blackbird_api.submit_and_wait_resource,Python,blackbird_api.submit_and_wait_resource,2,1,2,Cloud Infrastructure Management
Python::blender.send_command,Python,blender.send_command,28,3,28,System Command Execution
Python::boto3.Session,Python,boto3.Session,8,4,8,Cloud Infrastructure Management
Python::boto3.Session.client,Python,boto3.Session.client,4,2,4,Cloud Infrastructure Management
Python::boto3.client,Python,boto3.client,8,6,8,Cloud Infrastructure Management
Python::boto3.client.get_data_automation_status,Python,boto3.client.get_data_automation_status,1,1,1,Cloud Infrastructure Management
Python::boto3.client.get_place,Python,boto3.client.get_place,1,1,1,Cloud Infrastructure Management
Python::boto3.client.invoke_data_automation_async,Python,boto3.client.invoke_data_automation_async,1,1,1,Cloud Infrastructure Management
Python::boto3.client.scan,Python,boto3.client.scan,1,1,1,Database Management
Python::boto3.client.search_text,Python,boto3.client.search_text,1,1,1,Cloud Infrastructure Management
Python::boto3.download_from_s3,Python,boto3.download_from_s3,1,1,1,Cloud Infrastructure Management
Python::boto3.get_account_id,Python,boto3.get_account_id,1,1,1,Cloud Infrastructure Management
Python::boto3.get_profile_arn,Python,boto3.get_profile_arn,1,1,1,Cloud Infrastructure Management
Python::boto3.s3.upload_file,Python,boto3.s3.upload_file,2,2,2,Cloud Infrastructure Management
Python::boto3.upload_to_s3,Python,boto3.upload_to_s3,1,1,1,Cloud Infrastructure Management
Python::botocore.config.Config,Python,botocore.config.Config,10,6,10,Cloud Infrastructure Management
Python::botocore.paginate,Python,botocore.paginate,1,1,1,Cloud Infrastructure Management
Python::box_auth_callback.open_browser,Python,box_auth_callback.open_browser,1,1,1,System Command Execution
Python::browser.Browser._setup_network_interception,Python,browser.Browser._setup_network_interception,1,1,1,Browser Automation and Web Interaction
Python::browser.Browser.evaluate,Python,browser.Browser.evaluate,1,1,1,Browser Automation and Web Interaction
Python::browser.Browser.goto,Python,browser.Browser.goto,1,1,1,System Command Execution
Python::browser.Browser.mouse.click,Python,browser.Browser.mouse.click,1,1,1,Browser Automation and Web Interaction
Python::browser.Browser.setup,Python,browser.Browser.setup,1,1,1,Browser Automation and Web Interaction
